,3),Corporate managers and directors,3),"Textiles, printing and other skilled trades",,,
,4),Health and social care associate professionals,4),"Skilled metal, electrical and electronic trades",,,
,5),"Business, media and public service professionals",5),Skilled agricultural and related trades,,,
,,,,,,,
,Leicester and Leicestershire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),"Business, media and public service professionals",5),Administrative occupations,,,
,,,,,,,
,London Enterprise Panel,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Teaching and educational professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Corporate managers and directors,4),Administrative occupations,,,
,5),Health professionals,5),Elementary trades and related occupations,,,
,,,,,,,
,Liverpool City Region LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Health professionals,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,The Marches LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),Health professionals,5),Skilled agricultural and related trades,,,
,,,,,,,
,New Anglia LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Teaching and educational professionals,4),"Textiles, printing and other skilled trades",,,
,5),Customer service occupations,5),Administrative occupations,,,
,,,,,,,
,North East LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Customer service occupations,1),Secretarial and related occupations,,,
,2),Health professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Caring personal service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),"Business, media and public service professionals",5),Administrative occupations,,,
,,,,,,,
,Oxfordshire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Teaching and educational professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Corporate managers and directors,4),"Textiles, printing and other skilled trades",,,
,5),Customer service occupations,5),Administrative occupations,,,
,,,,,,,
,Sheffield City Region LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Textiles, printing and other skilled trades",,,
,4),Customer service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Sales occupations,,,
,,,,,,,
,Solent LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Teaching and educational professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Health professionals,4),"Textiles, printing and other skilled trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,South East Midlands LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Textiles, printing and other skilled trades",,,
,4),Customer service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),"Business, media and public service professionals",5),Administrative occupations,,,
,,,,,,,
,Swindon and Wiltshire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Customer service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,South East LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Teaching and educational professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Health professionals,4),"Textiles, printing and other skilled trades",,,
,5),Corporate managers and directors,5),Elementary trades and related occupations,,,
,,,,,,,
,Stoke-on-Trent and Staffordshire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),Health professionals,5),Sales occupations,,,
,,,,,,,
,Thames Valley Berkshire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Teaching and educational professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Customer service occupations,4),"Textiles, printing and other skilled trades",,,
,5),Health professionals,5),Elementary trades and related occupations,,,
,,,,,,,
,Tees Valley LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Health professionals,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Customer service occupations,3),"Textiles, printing and other skilled trades",,,
,4),Caring personal service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),"Business, media and public service professionals",5),Elementary trades and related occupations,,,
,,,,,,,
,West of England LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),Customer service occupations,5),Administrative occupations,,,
,,,,,,,
,Worcestershire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Corporate managers and directors,3),"Textiles, printing and other skilled trades",,,
,4),Health and social care associate professionals,4),"Skilled metal, electrical and electronic trades",,,
,5),Health professionals,5),Sales occupations,,,
,,,,,,,
,"York, North, Yorkshire and East Riding LEP",,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Health professionals,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Sales occupations,,,
