,Unweighted row,Total,Off-job and on-job training,,Off-job training only,,On-job training only,,Do not train,,ANY TRAINING,,ANY OFF-THE-JOB,,ANY ON-THE-JOB,
Heart of the South West,2691.00,57482.00,19875.00,0.35,8055.00,0.14,12050.00,0.21,17503.00,0.30,39979.00,0.70,27929.00,0.49,31924.00,0.56
Hertfordshire,1815.00,37348.00,14000.00,0.37,4525.00,0.12,7724.00,0.21,11099.00,0.30,26249.00,0.70,18525.00,0.50,21723.00,0.58
Humber,1332.00,25011.00,9591.00,0.38,3360.00,0.13,3819.00,0.15,8241.00,0.33,16770.00,0.67,12951.00,0.52,13410.00,0.54
Lancashire,1873.00,40330.00,13656.00,0.34,5982.00,0.15,7981.00,0.20,12711.00,0.32,27619.00,0.68,19638.00,0.49,21637.00,0.54
South East,4764.00,117062.00,41432.00,0.35,13265.00,0.11,23969.00,0.20,38395.00,0.33,78667.00,0.67,54698.00,0.47,65401.00,0.56
Leicester and Leicestershire,1502.00,28895.00,10479.00,0.36,4000.00,0.14,4698.00,0.16,9718.00,0.34,19177.00,0.66,14479.00,0.50,15177.00,0.53
Liverpool City Region,1328.00,32611.00,12931.00,0.40,4129.00,0.13,5601.00,0.17,9951.00,0.31,22660.00,0.69,17059.00,0.52,18531.00,0.57
London,10269.00,289814.00,109027.00,0.38,32105.00,0.11,51371.00,0.18,97311.00,0.34,192503.00,0.66,141132.00,0.49,160398.00,0.55
New Anglia,2280.00,49331.00,17297.00,0.35,6651.00,0.13,9573.00,0.19,15809.00,0.32,33522.00,0.68,23948.00,0.49,26870.00,0.54
North Eastern,3819.00,46039.00,16384.00,0.36,5845.00,0.13,6986.00,0.15,16824.00,0.37,29215.00,0.63,22230.00,0.48,23370.00,0.51
Northamptonshire,0.00,0.00,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Oxfordshire,769.00,22576.00,9346.00,0.41,3583.00,0.16,2999.00,0.13,6649.00,0.29,15927.00,0.71,12929.00,0.57,12344.00,0.55
Sheffield City Region,2242.00,46312.00,15773.00,0.34,5902.00,0.13,7269.00,0.16,17369.00,0.38,28944.00,0.62,21675.00,0.47,23042.00,0.50
Solent,1053.00,25216.00,10496.00,0.42,3743.00,0.15,5544.00,0.22,5433.00,0.22,19783.00,0.78,14239.00,0.56,16040.00,0.64
South East Midlands,2371.00,58670.00,21478.00,0.37,8007.00,0.14,9989.00,0.17,19196.00,0.33,39475.00,0.67,29485.00,0.50,31467.00,0.54
Stoke-on-Trent and Staffordshire,1328.00,29702.00,11356.00,0.38,3792.00,0.13,4294.00,0.14,10259.00,0.35,19443.00,0.65,15149.00,0.51,15651.00,0.53
Swindon and Wiltshire,791.00,21287.00,8883.00,0.42,3170.00,0.15,3674.00,0.17,5560.00,0.26,15727.00,0.74,12053.00,0.57,12557.00,0.59
Tees Valley,1376.00,14650.00,5257.00,0.36,1825.00,0.12,2213.00,0.15,5355.00,0.37,9295.00,0.63,7082.00,0.48,7470.00,0.51
Thames Valley Berkshire,952.00,28337.00,13631.00,0.48,1958.00,0.07,4409.00,0.16,8339.00,0.29,19998.00,0.71,15589.00,0.55,18041.00,0.64
The Marches,1259.00,23858.00,8182.00,0.34,3599.00,0.15,3106.00,0.13,8970.00,0.38,14888.00,0.62,11782.00,0.49,11288.00,0.47
West of England,1491.00,32893.00,13715.00,0.42,3946.00,0.12,6747.00,0.21,8485.00,0.26,24408.00,0.74,17661.00,0.54,20462.00,0.62
Worcestershire,1082.00,17879.00,6078.00,0.34,2974.00,0.17,2329.00,0.13,6499.00,0.36,11380.00,0.64,9051.00,0.51,8406.00,0.47
York North Yorkshire and East Riding,2315.00,41551.00,13440.00,0.32,6754.00,0.16,6261.00,0.15,15096.00,0.36,26455.00,0.64,20194.00,0.49,19701.00,0.47
