time_period,time_identifier,geographic_level,country_name,country_code,sector,soc_4_labelled,soc_3_labelled,soc_2_labelled,soc_1_labelled,sample_occupations_estab_has_vacancy,vac_sum,htfv_sum,ssv_sum,htfv_den,ssv_den
2011,Calendar year,National,United Kingdom,K02000001,Total,3131 - It operations technicians,Total,Total,Total,170,4209.77144889742,985.060678356477,892.934794569989,23.3993861736716,21.2110040986633
2011,Calendar year,National,United Kingdom,K02000001,Total,3132 - It user support technicians,Total,Total,Total,99,1483.2918108047,260.508540265535,253.563634072205,17.562865133342,17.0946561037538
2011,Calendar year,National,United Kingdom,K02000001,Total,3219 - Health associate professionals n.e.c.,Total,Total,Total,21,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3231 - Youth and community workers,Total,Total,Total,122,4562.50929115149,485.484191891861,198.602227082857,10.6407277423721,4.35291666075124
2011,Calendar year,National,United Kingdom,K02000001,Total,3234 - Housing officers,Total,Total,Total,60,1719.75363383402,178.371465487409,142.673400786501,10.3719196737353,8.29615347103093
2011,Calendar year,National,United Kingdom,K02000001,Total,3235 - Counsellors,Total,Total,Total,8,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3239 - Welfare and housing associate professionals n.e.c.,Total,Total,Total,125,4268.02370530626,184.100781232996,76.1700129388218,4.31349012902884,1.78466705431188
2011,Calendar year,National,United Kingdom,K02000001,Total,3411 - Artists,Total,Total,Total,6,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,"3412 - Authors, writers and translators",Total,Total,Total,32,893.703053045392,91.5105124151058,50.9291148847938,10.2394763118771,5.69866184424985
2011,Calendar year,National,United Kingdom,K02000001,Total,"3413 - Actors, entertainers and presenters",Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3414 - Dancers and choreographers,Total,Total,Total,7,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3415 - Musicians,Total,Total,Total,6,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,"3416 - Arts officers, producers and directors",Total,Total,Total,34,430.190058247403,52.5774658609522,52.5774658609522,12.2219156051986,12.2219156051986
2011,Calendar year,National,United Kingdom,K02000001,Total,"3417 - Photographers, audio-visual and broadcasting equipment operators",Total,Total,Total,43,669.479060906208,224.935133389132,159.930545129164,33.5985315335567,23.888804664433
2011,Calendar year,National,United Kingdom,K02000001,Total,3421 - Graphic designers,Total,Total,Total,79,1198.28379546951,394.660131209069,331.731975245043,32.935447571035,27.683924000246
2011,Calendar year,National,United Kingdom,K02000001,Total,"3442 - Sports coaches, instructors and officials",Total,Total,Total,66,2014.67122606822,386.57108190165,327.4578465896,19.1877998206225,16.2536617564474
2011,Calendar year,National,United Kingdom,K02000001,Total,3443 - Fitness instructors,Total,Total,Total,68,1022.18230396545,177.980244740048,49.7207413441163,17.4117908370739,4.86417551460534
2011,Calendar year,National,United Kingdom,K02000001,Total,3520 - Legal associate professionals,Total,Total,Total,43,1147.94269039481,114.862958737984,109.230280825639,10.0059837219295,9.51530784067903
2011,Calendar year,National,United Kingdom,K02000001,Total,3534 - Finance and investment analysts and advisers,Total,Total,Total,70,3726.49279585459,750.341469540134,707.714853043927,20.1353259122043,18.9914456249909
2011,Calendar year,National,United Kingdom,K02000001,Total,3539 - Business and related associate professionals n.e.c.,Total,Total,Total,68,1482.23905328586,196.386997109589,168.883853701482,13.2493471059364,11.3938337629882
2011,Calendar year,National,United Kingdom,K02000001,Total,3541 - Buyers and procurement officers,Total,Total,Total,63,765.262618460008,176.072764272678,114.357808729292,23.0081491014158,14.9436031462535
2011,Calendar year,National,United Kingdom,K02000001,Total,3542 - Business sales executives,Total,Total,Total,615,16412.6284735316,3878.57685222558,3371.88310544968,23.6316617931156,20.5444430237817
2011,Calendar year,National,United Kingdom,K02000001,Total,3543 - Marketing associate professionals,Total,Total,Total,266,6314.20747806136,879.2784614758,811.929981521421,13.9253970435853,12.858778941656
2011,Calendar year,National,United Kingdom,K02000001,Total,3545 - Sales accounts and business development managers,Total,Total,Total,274,5050.19426857748,1265.79111868722,1021.0217120001,25.0642064714823,20.2174739762575
2011,Calendar year,National,United Kingdom,K02000001,Total,3546 - Conference and exhibition managers and organisers,Total,Total,Total,52,713.811745025152,138.495239176608,113.925420432125,19.4022079549458,15.9601493287436
2011,Calendar year,National,United Kingdom,K02000001,Total,3550 - Conservation and environmental associate professionals,Total,Total,Total,16,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3561 - Public services associate professionals,Total,Total,Total,19,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3562 - Human resources and industrial relations officers,Total,Total,Total,268,8829.2635629655,1305.86509903069,1126.27969613407,14.7901927461783,12.7562133365038
2011,Calendar year,National,United Kingdom,K02000001,Total,3563 - Vocational and industrial trainers and instructors,Total,Total,Total,113,4507.72707133097,375.297029926639,184.493321011013,8.32563782118749,4.09282368012885
2011,Calendar year,National,United Kingdom,K02000001,Total,3564 - Careers advisers and vocational guidance specialists,Total,Total,Total,14,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3565 - Inspectors of standards and regulations,Total,Total,Total,22,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3567 - Health and safety officers,Total,Total,Total,45,863.546256260537,204.812246551983,190.421820448939,23.7175768023004,22.0511430706137
2011,Calendar year,National,United Kingdom,K02000001,Total,4112 - National government administrative occupations,Total,Total,Total,26,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,4113 - Local government administrative occupations,Total,Total,Total,47,990.631429617062,6.84270164168451,0,0.690741423813862,0
2011,Calendar year,National,United Kingdom,K02000001,Total,4114 - Officers of non-governmental organisations,Total,Total,Total,27,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,"4122 - Book-keepers, payroll managers and wages clerks",Total,Total,Total,278,4600.16404659763,934.830146836967,726.998721212513,20.3216697788938,15.8037564279956
2011,Calendar year,National,United Kingdom,K02000001,Total,4124 - Finance officers,Total,Total,Total,37,727.143479329177,104.874493951061,85.015823761459,14.4228060805568,11.691753577972
2011,Calendar year,National,United Kingdom,K02000001,Total,4129 - Financial administrative occupations n.e.c.,Total,Total,Total,195,4788.66844830781,642.648426349302,547.836674751695,13.4201904618474,11.4402715632836
2011,Calendar year,National,United Kingdom,K02000001,Total,4133 - Stock control clerks and assistants,Total,Total,Total,53,749.717965370485,57.9439529294078,20.8565966928294,7.72876676374881,2.78192569155293
2011,Calendar year,National,United Kingdom,K02000001,Total,4135 - Library clerks and assistants,Total,Total,Total,67,2045.2532106716,258.593702094272,30.1541129020269,12.6436032832022,1.47434619560505
2011,Calendar year,National,United Kingdom,K02000001,Total,4151 - Sales administrators,Total,Total,Total,122,1907.80367401409,280.080446761609,128.85207004463,14.6807792948794,6.75394810271649
2011,Calendar year,National,United Kingdom,K02000001,Total,4159 - Other administrative occupations n.e.c.,Total,Total,Total,941,19423.7803999379,2828.72880206468,1810.8968233127,14.5632247884852,9.32309151991075
2011,Calendar year,National,United Kingdom,K02000001,Total,4161 - Office managers,Total,Total,Total,49,1062.48609534175,89.8013839842174,89.8013839842174,8.45200557239597,8.45200557239597
2011,Calendar year,National,United Kingdom,K02000001,Total,4215 - Personal assistants and other secretaries,Total,Total,Total,83,1743.38799261337,402.90783042376,256.751775973955,23.110623230793,14.7271735873941
2011,Calendar year,National,United Kingdom,K02000001,Total,4216 - Receptionists,Total,Total,Total,444,6436.33306148319,929.756842548309,628.319687527475,14.4454432930489,9.76207541662993
2011,Calendar year,National,United Kingdom,K02000001,Total,4217 - Typists and related keyboard occupations,Total,Total,Total,29,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5112 - Horticultural trades,Total,Total,Total,14,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5113 - Gardeners and landscape gardeners,Total,Total,Total,48,1280.80447782109,275.98827000936,205.457968587375,21.5480406875898,16.0413218524112
2011,Calendar year,National,United Kingdom,K02000001,Total,5114 - Groundsmen and greenkeepers,Total,Total,Total,24,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5119 - Agricultural and fishing trades n.e.c.,Total,Total,Total,11,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5223 - Metal working production and maintenance fitters,Total,Total,Total,215,4750.00250197448,1971.87641599657,1741.06147893321,41.5131658389001,36.6539065655121
2011,Calendar year,National,United Kingdom,K02000001,Total,"5231 - Vehicle technicians, mechanics and electricians",Total,Total,Total,236,5391.53078252499,2512.78271183381,2068.14286375788,46.6061089733222,38.3591033266681
2011,Calendar year,National,United Kingdom,K02000001,Total,5241 - Electricians and electrical fitters,Total,Total,Total,104,2251.69500622846,779.502091248694,636.150408208115,34.6184580545986,28.2520681730183
2011,Calendar year,National,United Kingdom,K02000001,Total,5245 - It engineers,Total,Total,Total,43,878.671882320006,321.980207915884,311.728368256997,36.643963963629,35.4772213074491
2011,Calendar year,National,United Kingdom,K02000001,Total,5249 - Electrical and electronic trades n.e.c.,Total,Total,Total,59,1106.00110648925,363.915799782529,347.384727607696,32.9037464472073,31.4090759556643
2011,Calendar year,National,United Kingdom,K02000001,Total,5312 - Bricklayers and masons,Total,Total,Total,24,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5315 - Carpenters and joiners,Total,Total,Total,96,3612.68450678814,629.209721140837,503.492725986795,17.4166805863775,13.9368030903542
2011,Calendar year,National,United Kingdom,K02000001,Total,5319 - Construction and building trades n.e.c.,Total,Total,Total,38,956.079170049306,195.046862116455,187.252484855536,20.4007019739167,19.585458058445
2011,Calendar year,National,United Kingdom,K02000001,Total,5322 - Floorers and wall tilers,Total,Total,Total,12,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5323 - Painters and decorators,Total,Total,Total,31,1182.14850760238,389.470768647031,234.709732576592,32.9460102637147,19.8545048331217
2011,Calendar year,National,United Kingdom,K02000001,Total,5330 - Construction and building trades supervisors,Total,Total,Total,20,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5412 - Upholsterers,Total,Total,Total,12,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5413 - Footwear and leather working trades,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5414 - Tailors and dressmakers,Total,Total,Total,11,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,5434 - Chefs,Total,Total,Total,577,8441.49842057847,3742.77906777015,2719.01132545735,44.3378518989721,32.2100554900184
2011,Calendar year,National,United Kingdom,K02000001,Total,5435 - Cooks,Total,Total,Total,95,1688.79840952869,1052.10954776848,390.58583008939,62.2992976445366,23.128031616183
2011,Calendar year,National,United Kingdom,K02000001,Total,5436 - Catering and bar managers,Total,Total,Total,62,1104.10868468613,184.423014987116,137.305611079678,16.7033388601181,12.4358781870021
2011,Calendar year,National,United Kingdom,K02000001,Total,6121 - Nursery nurses and assistants,Total,Total,Total,280,4610.3537628431,956.742461909407,659.502304463771,20.7520401063411,14.3048090968419
2011,Calendar year,National,United Kingdom,K02000001,Total,6122 - Childminders and related occupations,Total,Total,Total,33,630.945115701097,167.293790406898,122.344346499947,26.5147928470772,19.3906480065227
2011,Calendar year,National,United Kingdom,K02000001,Total,6123 - Playworkers,Total,Total,Total,44,833.504594440382,169.27216664486,116.866630779208,20.308486332761,14.0211141676637
2011,Calendar year,National,United Kingdom,K02000001,Total,6125 - Teaching assistants,Total,Total,Total,178,2549.97480900487,100.531629987649,83.3287260906588,3.94245580907843,3.26782546229066
2011,Calendar year,National,United Kingdom,K02000001,Total,6126 - Educational support assistants,Total,Total,Total,89,1721.2323266262,121.395241796685,68.3502130171074,7.05280977580944,3.97100449252432
2011,Calendar year,National,United Kingdom,K02000001,Total,6139 - Animal care services occupations n.e.c.,Total,Total,Total,53,2256.36356971238,704.201664762195,680.290514594,31.2095831635838,30.1498625365909
2011,Calendar year,National,United Kingdom,K02000001,Total,6141 - Nursing auxiliaries and assistants,Total,Total,Total,91,3354.09377450215,393.239739606475,367.348564208883,11.7241724902234,10.9522448955205
2011,Calendar year,National,United Kingdom,K02000001,Total,6144 - Houseparents and residential wardens,Total,Total,Total,29,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,6145 - Care workers and home carers,Total,Total,Total,960,33718.9195450578,7422.71009750371,3562.90128141202,22.013487376382,10.5664752295844
2011,Calendar year,National,United Kingdom,K02000001,Total,6146 - Senior care workers,Total,Total,Total,55,818.065730458461,190.128321131214,155.697633291285,23.2412034940838,19.0324111491663
2011,Calendar year,National,United Kingdom,K02000001,Total,"6148 - Undertakers, mortuary and crematorium assistants",Total,Total,Total,17,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,6211 - Sports and leisure assistants,Total,Total,Total,164,2957.52877430174,320.094428774398,197.073456179797,10.8230368392602,6.66345017137917
2011,Calendar year,National,United Kingdom,K02000001,Total,6215 - Rail travel assistants,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,6219 - Leisure and travel service occupations n.e.c.,Total,Total,Total,7,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,6221 - Hairdressers and barbers,Total,Total,Total,301,6845.36486258162,3364.48095371065,2454.74604423073,49.1497680730168,35.8599737707036
2011,Calendar year,National,United Kingdom,K02000001,Total,6222 - Beauticians and related occupations,Total,Total,Total,89,1851.29635433318,843.059128157748,694.505280042455,45.5388531492793,37.5145383080825
2011,Calendar year,National,United Kingdom,K02000001,Total,6231 - Housekeepers and related occupations,Total,Total,Total,85,996.353451624388,154.029675812228,31.9569439818801,15.4593408153611,3.20739030208403
2011,Calendar year,National,United Kingdom,K02000001,Total,6232 - Caretakers,Total,Total,Total,67,722.819384887197,154.693570734627,104.368513748319,21.4014142355588,14.4390861576861
2011,Calendar year,National,United Kingdom,K02000001,Total,6240 - Cleaning and housekeeping managers and supervisors,Total,Total,Total,62,1036.11330502509,220.097697387658,184.765971014028,21.2426282261021,17.8326028744081
2011,Calendar year,National,United Kingdom,K02000001,Total,7111 - Sales and retail assistants,Total,Total,Total,1250,34711.9307725264,4421.25360055175,2702.19191632576,12.7369855325105,7.78462003175138
2011,Calendar year,National,United Kingdom,K02000001,Total,7112 - Retail cashiers and check-out operators,Total,Total,Total,156,3300.0793983082,375.649878040991,195.021933124652,11.3830557602211,5.90961336338245
2011,Calendar year,National,United Kingdom,K02000001,Total,7113 - Telephone salespersons,Total,Total,Total,162,13607.9478915768,1276.67525869703,964.207162468341,9.3818352985264,7.08561768571423
2011,Calendar year,National,United Kingdom,K02000001,Total,"7122 - Debt, rent and other cash collectors",Total,Total,Total,10,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,7129 - Sales related occupations n.e.c.,Total,Total,Total,113,3053.32297314548,870.05761680915,727.274233712235,28.4954334821918,23.8191059415837
2011,Calendar year,National,United Kingdom,K02000001,Total,7219 - Customer service occupations n.e.c.,Total,Total,Total,266,7616.14496072892,519.403476129391,388.560789245623,6.81976877813628,5.10180401304277
2011,Calendar year,National,United Kingdom,K02000001,Total,7220 - Customer service managers and supervisors,Total,Total,Total,45,540.516276071846,192.092059728762,192.092059728762,35.5386263527111,35.5386263527111
2011,Calendar year,National,United Kingdom,K02000001,Total,"8111 - Food, drink and tobacco process operatives",Total,Total,Total,75,3966.64940943219,223.093368513286,167.625929857996,5.62422703611763,4.22588216290058
2011,Calendar year,National,United Kingdom,K02000001,Total,8125 - Metal working machine operatives,Total,Total,Total,52,1086.40863139638,359.031375217559,322.626532910391,33.0475444360276,29.6966098746576
2011,Calendar year,National,United Kingdom,K02000001,Total,8127 - Printing machine assistants,Total,Total,Total,12,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8131 - Assemblers (electrical and electronic products),Total,Total,Total,36,493.251389557294,152.472467481998,145.512487166495,30.9117157518493,29.5006745540233
2011,Calendar year,National,United Kingdom,K02000001,Total,8133 - Routine inspectors and testers,Total,Total,Total,49,952.614349853319,453.787080725213,442.037129473239,47.6359694555395,46.4025268505878
2011,Calendar year,National,United Kingdom,K02000001,Total,8137 - Sewing machinists,Total,Total,Total,29,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8149 - Construction operatives n.e.c.,Total,Total,Total,61,867.458321495665,161.698017825285,107.457106529458,18.6404365280036,12.387581497193
2011,Calendar year,National,United Kingdom,K02000001,Total,8211 - Large goods vehicle drivers,Total,Total,Total,124,2839.12883429525,703.272499814035,331.874569019061,24.7707145698658,11.6893099393794
2011,Calendar year,National,United Kingdom,K02000001,Total,8212 - Van drivers,Total,Total,Total,260,5739.91340911353,1403.10558194293,667.230681507935,24.4447168787452,11.6244032610064
2011,Calendar year,National,United Kingdom,K02000001,Total,8232 - Marine and waterways transport operatives,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,8234 - Rail transport operatives,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,9112 - Forestry workers,Total,Total,Total,16,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,9119 - Fishing and other elementary agriculture occupations n.e.c.,Total,Total,Total,23,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,9120 - Elementary construction occupations,Total,Total,Total,71,2502.72677549439,664.301190180229,240.857173386941,26.5430967808703,9.62379016939885
2011,Calendar year,National,United Kingdom,K02000001,Total,"9134 - Packers, bottlers, canners and fillers",Total,Total,Total,47,4346.89072509478,185.763619556659,114.775071384575,4.27348261791441,2.64039467847613
2011,Calendar year,National,United Kingdom,K02000001,Total,9139 - Elementary process plant occupations n.e.c.,Total,Total,Total,58,1402.00508854221,84.6194399096535,84.6194399096535,6.03560148256235,6.03560148256235
2011,Calendar year,National,United Kingdom,K02000001,Total,"9211 - Postal workers, mail sorters, messengers and couriers",Total,Total,Total,70,3554.53810778813,113.203668113305,54.3351098476382,3.18476450893216,1.52861238788207
2011,Calendar year,National,United Kingdom,K02000001,Total,9219 - Elementary administration occupations n.e.c.,Total,Total,Total,58,1195.72105690519,367.787779016196,262.172371555686,30.7586603825575,21.9258806258919
