"Sectors with highest and lowest forecast growth, 2017-2027",,,,,,
,2),Health and social work,2),Rest of manufacturing,,
,3),Information technology,3),Engineering,,
,4),Water and sewerage,4),Real estate,,
,5),Support services,5),Finance and insurance,,
,,,,,,
,London Enterprise Panel,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Water and sewerage,1),Rest of manufacturing,,
,2),Information technology,2),Agriculture,,
,3),Other services,3),Transport and storage,,
,4),Engineering,4),Food drink and tobacco,,
,5),Health and social work,5),Real estate,,
,,,,,,
,Liverpool City Region LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Food drink and tobacco,,
,2),Real estate,2),Rest of manufacturing,,
,3),Arts and entertainment,3),Agriculture,,
,4),Information technology,4),Transport and storage,,
,5),Professional services,5),Engineering,,
,,,,,,
,The Marches LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Food drink and tobacco,,
,2),Support services,2),Rest of manufacturing,,
,3),Health and social work,3),Finance and insurance,,
,4),Accommodation and food,4),Agriculture,,
,5),Real estate,5),Education,,
,,,,,,
,New Anglia LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Water and sewerage,1),Agriculture,,
,2),Health and social work,2),Rest of manufacturing,,
,3),Real estate,3),Food drink and tobacco,,
,4),Arts and entertainment,4),Engineering,,
,5),Professional services,5),Media,,
,,,,,,
,North East LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Information technology,1),Rest of manufacturing,,
,2),Real estate,2),Food drink and tobacco,,
,3),Finance and insurance,3),Agriculture,,
,4),Arts and entertainment,4),Transport and storage,,
,5),Professional services,5),Education,,
,,,,,,
,Oxfordshire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Water and sewerage,1),Engineering,,
,2),Arts and entertainment,2),Rest of manufacturing,,
,3),Support services,3),Food drink and tobacco,,
,4),Information technology,4),Public admin. and defence,,
,5),Real estate,5),Agriculture,,
,,,,,,
,Sheffield City Region LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Rest of manufacturing,,
,2),Arts and entertainment,2),Agriculture,,
,3),Support services,3),Food drink and tobacco,,
,4),Professional services,4),Accommodation and food,,
,5),Information technology,5),Finance and insurance,,
,,,,,,
,Solent LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Information technology,1),Engineering,,
,2),Health and social work,2),Rest of manufacturing,,
,3),Water and sewerage,3),Food drink and tobacco,,
,4),Professional services,4),Public admin. and defence,,
,5),Arts and entertainment,5),Finance and insurance,,
,,,,,,
,South East Midlands LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Engineering,,
,2),Arts and entertainment,2),Agriculture,,
,3),Support services,3),Rest of manufacturing,,
,4),Water and sewerage,4),Finance and insurance,,
,5),Professional services,5),Transport and storage,,
,,,,,,
,Swindon and Wiltshire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Food drink and tobacco,,
,2),Health and social work,2),Public admin. and defence,,
,3),Professional services,3),Rest of manufacturing,,
,4),Other services,4),Engineering,,
,5),Information technology,5),Agriculture,,
,,,,,,
,South East LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Engineering,,
,2),Health and social work,2),Rest of manufacturing,,
,3),Water and sewerage,3),Agriculture,,
,4),Real estate,4),Food drink and tobacco,,
,5),Professional services,5),Finance and insurance,,
,,,,,,
,Stoke-on-Trent and Staffordshire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Support services,1),Rest of manufacturing,,
,2),Arts and entertainment,2),Agriculture,,
,3),Health and social work,3),Finance and insurance,,
,4),Professional services,4),Food drink and tobacco,,
,5),Information technology,5),Wholesale and retail trade,,
,,,,,,
,Thames Valley Berkshire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Engineering,,
,2),Water and sewerage,2),Rest of manufacturing,,
,3),Professional services,3),Food drink and tobacco,,
,4),Information technology,4),Finance and insurance,,
,5),Health and social work,5),Public admin. and defence,,
,,,,,,
,Tees Valley LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Real estate,1),Rest of manufacturing,,
,2),Health and social work,2),Food drink and tobacco,,
,3),Professional services,3),Agriculture,,
,4),Information technology,4),Education,,
,5),Finance and insurance,5),Transport and storage,,
,,,,,,
,West of England LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Food drink and tobacco,,
,2),Arts and entertainment,2),Agriculture,,
,3),Professional services,3),Rest of manufacturing,,
,4),Water and sewerage,4),Public admin. and defence,,
,5),Support services,5),Engineering,,
,,,,,,
,Worcestershire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Rest of manufacturing,,
,2),Water and sewerage,2),Agriculture,,
,3),Real estate,3),Food drink and tobacco,,
,4),Health and social work,4),Finance and insurance,,
,5),Professional services,5),Public admin. and defence,,
,,,,,,
,"York, North Yorkshire and East Riding LEP",,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Food drink and tobacco,,
,2),Health and social work,2),Rest of manufacturing,,
,3),Professional services,3),Agriculture,,
,4),Engineering,4),Education,,
,5),Support services,5),Electricity and gas,,
