,England Total,Black Country,Buckinghamshire Thames Valley,Cheshire and Warrington,Coast to Capital,Cornwall and Isles of Scilly,Coventry and Warwickshire,Cumbria,"Derby, Derbyshire, Nottingham and Nottinghamshire",Dorset,Enterprise M3,Gloucestershire,Greater Birmingham and Solihull,Greater Cambridge Greater Peterborough,Greater Lincolnshire,Greater Manchester,Heart of the South West,Hertfordshire,Humber,Lancashire,Leeds City Region,Leicester and Leicestershire,Liverpool City Region,London,New Anglia,North Eastern,Northamptonshire,Oxfordshire,Sheffield City Region,Solent,South East,South East Midlands,Stoke-on-Trent and Staffordshire,Swindon and Wiltshire,Tees Valley,Thames Valley Berkshire,The Marches,West of England,Worcestershire,"York, North Yorkshire and East Riding"
Total Days Training,88442026.00,1402437.00,700453.00,1492657.00,3228209.00,736723.00,1317629.00,905502.00,2925705.00,918951.00,2465150.00,947231.00,3689796.00,2636199.00,1643167.00,4849034.00,2468016.00,1464876.00,1385636.00,2359015,4867001,1315346,2193011,17408113,2188533,2861503,**,1326269,2636865,2344670,5758753,3530195,2204453,1255990,868911,1619865,1071220,1574713,822569,1742694
Training days per trainee,5.80,5.90,5.20,5.50,6.20,5.50,5.30,6.40,5.60,4.90,6.10,5.50,6.20,5.70,6.30,6.60,5.70,4.30,5.40,6.4,5.7,5.1,5.8,5.9,5.1,5.9,**,5.9,5.8,7.2,6.1,6.4,7.1,6.5,5.6,4.7,6.4,4.5,5.7,5.7
Training days per staff,3.50,3.20,3.10,3.10,3.80,3.30,3.00,3.80,3.20,2.80,3.60,3.30,4.00,3.20,3.80,3.80,3.40,2.30,3.30,3.8,3.5,2.8,3.5,3.4,3.2,3.6,**,3.7,3.6,4.5,3.7,3.8,4.7,4,3.4,3.2,3.6,2.7,3.3,3.4
Unweighted row,13358.00,210.00,113.00,263.00,403.00,171.00,214.00,200.00,545.00,193.00,358.00,159.00,353.00,513.00,342.00,486.00,562.00,273.00,254.00,325,716,235,271,1939,512,793,0,170,411,288,889,464,229,186,227,149,226,256,162,430
Total,1683072.00,23662.00,15537.00,34133.00,59557.00,24783.00,27628.00,28569.00,67505.00,24067.00,47571.00,18598.00,41341.00,60329.00,41171.00,58825.00,71686.00,34568.00,26113.00,39767,89676,27807,29000,243042,64990,105570,0,19767,47803,36044,115715,57479,29825,23844,31043,20271,29586,32950,20076,58793
MA_PD22: Whether have any apprentices currently,0.11,0.11,0.09,0.09,0.07,0.10,0.12,0.13,0.11,0.11,0.09,0.09,0.12,0.10,0.11,0.12,0.11,0.06,0.16,12%,11%,12%,16%,7%,12%,13%,**,13%,12%,14%,10%,9%,13%,14%,14%,4%,11%,10%,11%,11%
MA_PD23: Whether currently offer apprenticeships at site,0.08,0.08,0.06,0.10,0.09,0.09,0.09,0.06,0.10,0.12,0.10,0.14,0.09,0.10,0.09,0.10,0.09,0.10,0.05,10%,6%,5%,8%,6%,9%,8%,**,9%,8%,7%,8%,9%,14%,8%,10%,6%,10%,7%,7%,5%
MA_PD22/23: Whether have or offer apprenticeships,0.19,0.19,0.14,0.19,0.17,0.19,0.20,0.18,0.22,0.23,0.20,0.23,0.21,0.20,0.20,0.22,0.20,0.16,0.21,22%,17%,17%,24%,13%,21%,20%,**,22%,20%,21%,18%,18%,28%,23%,25%,10%,21%,17%,18%,16%
MA_PD28: Whether are aware and have good knowledge of apprenticeships / have or offer apprenticeships,0.54,0.60,0.48,0.54,0.47,0.60,0.58,0.64,0.56,0.60,0.52,0.53,0.53,0.54,0.50,0.54,0.53,0.50,0.53,56%,51%,54%,60%,50%,52%,60%,**,55%,54%,53%,51%,52%,58%,60%,59%,54%,54%,51%,52%,49%
Unweighted row,13352.00,204.00,140.00,253.00,370.00,203.00,209.00,214.00,562.00,211.00,353.00,183.00,376.00,493.00,314.00,478.00,512.00,257.00,252.00,343,753,277,264,1934,505,767,0,190,432,228,886,466,238,175,244,171,215,247,171,434
Total,1683072.00,24422.00,20622.00,31838.00,48662.00,29332.00,24275.00,29748.00,69489.00,27250.00,48248.00,23107.00,44362.00,56649.00,39000.00,52709.00,63903.00,33632.00,36432.00,41748,96002,36280,28383,250662,60160,101270,0,24410,54539,24929,108351,56020,30514,22655,28853,21481,30207,30148,21529,65210
MD_PC4AA: Recruitment method used in last 12 months (based on all establishments): Placed adverts on their website to recruit,0.25,0.17,0.17,0.25,0.22,0.20,0.29,0.18,0.23,0.29,0.25,0.24,0.26,0.28,0.22,0.25,0.30,0.27,0.22,27%,22%,19%,25%,27%,29%,24%,**,26%,25%,27%,25%,28%,22%,29%,27%,29%,17%,30%,22%,23%
MD_PC4AB: Recruitment method used in last 12 months (based on all establishments): Placed adverts on social media to recruit,0.24,0.16,0.21,0.21,0.21,0.26,0.28,0.20,0.21,0.26,0.21,0.26,0.22,0.29,0.27,0.23,0.30,0.25,0.25,22%,24%,19%,23%,25%,28%,25%,**,27%,21%,28%,24%,29%,23%,29%,25%,25%,21%,31%,18%,28%
MD_PC4AC: Recruitment method used in last 12 months (based on all establishments): Paid someone to place adverts on their website or social media,0.06,0.05,0.06,0.10,0.04,0.04,0.06,0.04,0.05,0.06,0.04,0.12,0.04,0.07,0.07,0.07,0.06,0.05,0.02,4%,6%,6%,4%,7%,7%,5%,**,4%,4%,8%,6%,7%,4%,7%,3%,5%,3%,6%,4%,4%
MD_PC4AD: Recruitment method used in last 12 months (based on all establishments): Used some other form of paid-for recruitment service,0.20,0.17,0.19,0.20,0.17,0.17,0.29,0.17,0.17,0.24,0.20,0.24,0.19,0.26,0.17,0.22,0.23,0.20,0.14,17%,18%,18%,19%,21%,25%,16%,**,24%,16%,25%,19%,25%,16%,21%,18%,24%,13%,22%,20%,16%
MD_PC4AE: Recruitment method used in last 12 months (based on all establishments): Used a government recruitment service or scheme,0.08,0.08,0.03,0.09,0.06,0.04,0.05,0.05,0.08,0.05,0.06,0.08,0.09,0.07,0.09,0.09,0.09,0.05,0.07,10%,7%,6%,12%,7%,10%,9%,**,6%,9%,6%,8%,5%,10%,6%,10%,7%,8%,8%,6%,8%
"MD_PC4AF: Recruitment method used in last 12 months (based on all establishments): Used school, college or university job fairs or careers services",0.09,0.08,0.08,0.10,0.08,0.06,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.10,0.10,0.10,0.09,0.08,0.07,9%,9%,6%,11%,9%,10%,9%,**,11%,11%,11%,5%,9%,10%,11%,9%,11%,9%,13%,9%,8%
MD_PC4AG: Recruitment method used in last 12 months (based on all establishments): Relied on word of mouth or personal recommendations,0.37,0.33,0.38,0.38,0.38,0.29,0.37,0.30,0.30,0.33,0.33,0.40,0.35,0.37,0.35,0.40,0.43,0.33,0.33,39%,36%,32%,43%,39%,40%,36%,**,37%,34%,38%,38%,41%,33%,44%,44%,31%,36%,37%,32%,34%
"MD_PC5_1: Proportion citing that candidates having a particular level of achievement of academic qualifications (e.g. GCSEs, A levels or a degree) is either a critical or significant factor when recruiting",0.42,0.29,0.43,0.43,0.38,0.34,0.44,0.34,0.44,0.48,0.41,0.45,0.40,0.40,0.36,0.46,0.39,0.42,0.34,35%,36%,42%,41%,52%,41%,41%,**,43%,43%,43%,38%,38%,42%,51%,40%,50%,36%,43%,46%,30%
MD_PC5_2: Proportion citing that candidates having Maths and English GCSE to at least level 2 or GCSE A -C is either a critical or significant factor when recruiting,0.52,0.46,0.60,0.55,0.51,0.45,0.54,0.36,0.52,0.61,0.51,0.56,0.54,0.53,0.48,0.57,0.46,0.56,0.45,53%,48%,53%,55%,57%,52%,49%,**,61%,53%,52%,48%,56%,57%,56%,50%,56%,43%,53%,56%,42%
MD_PC5_3: Proportion citing that candidates having a relevant vocational qualification is either a critical or significant factor when recruiting,0.47,0.42,0.48,0.50,0.47,0.49,0.46,0.45,0.51,0.45,0.45,0.47,0.42,0.47,0.52,0.46,0.46,0.47,0.43,45%,49%,52%,42%,48%,46%,48%,**,45%,51%,48%,46%,44%,42%,48%,49%,43%,40%,56%,36%,42%
MD_PC5_4: Proportion citing that candidates having relevant work experience is either a critical or significant factor when recruiting,0.62,0.64,0.69,0.71,0.60,0.62,0.69,0.57,0.61,0.57,0.69,0.69,0.62,0.58,0.57,0.58,0.65,0.66,0.62,71%,61%,59%,60%,66%,64%,60%,**,62%,63%,62%,60%,57%,58%,65%,60%,57%,56%,57%,63%,62%
MD_PC5_5: Proportion citing that candidates having a degree or degree-equivalent qualification is either a critical or significant factor when recruiting,0.20,0.13,0.22,0.20,0.19,0.13,0.16,0.14,0.18,0.23,0.20,0.16,0.17,0.17,0.14,0.21,0.15,0.24,0.13,14%,17%,18%,19%,33%,14%,15%,**,20%,15%,17%,15%,19%,19%,19%,19%,19%,10%,23%,19%,13%
