time_period,time_identifier,geographic_level,country_code,country_name,institution_group,institution_type,breakdown_topic,breakdown,data_type,version,inst_count,cohort,overall,education,fe,ssf,sfc,other_edu,ind,appru,special,spi,edu_combo,he,appren,appl3,appl2,all_work,all_notsust,notsust,notsust_ben,only_ben,all_unknown,unknown_id,unknown
201617,Academic year,National,E92000001,England,Alternative provision,Total,Sex,Male,Percentage,Revised,z,6488,52.2,45,29.9,1.2,1.7,12.2,0.5,9.1,2.2,0.3,0.1,0,2.9,0.4,2.4,4.4,28.1,24,2,2.1,19.6,18.6,1
201617,Academic year,National,E92000001,England,Alternative provision,Total,Total,Total,Number of students,Revised,432,9711,5196,4481,3018,161,228,1074,58,798,187,22,9,0,264,34,230,451,2844,2262,274,308,1671,1583,88
201617,Academic year,National,E92000001,England,Alternative provision,Total,Total,Total,Percentage,Revised,432,9711,53.5,46.1,31.1,1.7,2.3,11.1,0.6,8.2,1.9,0.2,0.1,0,2.7,0.4,2.4,4.6,29.3,23.3,2.8,3.2,17.2,16.3,0.9
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Disadvantage Status,Disadvantaged,Number of students,Revised,z,6281,5300,5218,1973,53,53,3139,6,86,2964,81,2,0,25,1,24,57,600,486,55,59,381,373,8
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Disadvantage Status,Disadvantaged,Percentage,Revised,z,6281,84.4,83.1,31.4,0.8,0.8,50,0.1,1.4,47.2,1.3,low,0,0.4,low,0.4,0.9,9.6,7.7,0.9,0.9,6.1,5.9,0.1
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Disadvantage Status,Not disadvantaged,Number of students,Revised,z,4225,4020,3970,1150,49,49,2722,5,26,2638,51,2,0,26,2,24,24,131,114,11,6,74,71,3
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Disadvantage Status,Not disadvantaged,Percentage,Revised,z,4225,95.1,94,27.2,1.2,1.2,64.4,0.1,0.6,62.4,1.2,low,0,0.6,low,0.6,0.6,3.1,2.7,0.3,0.1,1.8,1.7,0.1
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Sex,Female,Number of students,Revised,z,2942,2771,2749,748,34,29,1938,2,22,1875,38,1,0,12,0,12,10,119,89,20,10,52,50,2
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Sex,Female,Percentage,Revised,z,2942,94.2,93.4,25.4,1.2,1,65.9,0.1,0.7,63.7,1.3,low,0,0.4,0,0.4,0.3,4,3,0.7,0.3,1.8,1.7,0.1
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Sex,Male,Number of students,Revised,z,7564,6549,6439,2375,68,73,3923,9,90,3727,94,3,0,39,3,36,71,612,511,46,55,403,394,9
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Sex,Male,Percentage,Revised,z,7564,86.6,85.1,31.4,0.9,1,51.9,0.1,1.2,49.3,1.2,low,0,0.5,low,0.5,0.9,8.1,6.8,0.6,0.7,5.3,5.2,0.1
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Total,Total,Number of students,Revised,800,10506,9320,9188,3123,102,102,5861,11,112,5602,132,4,0,51,3,48,81,731,600,66,65,455,444,11
201617,Academic year,National,E92000001,England,State-funded (inc. non-maintained) special,Total,Total,Total,Percentage,Revised,800,10506,88.7,87.5,29.7,1,1,55.8,0.1,1.1,53.3,1.3,low,0,0.5,low,0.5,0.8,7,5.7,0.6,0.6,4.3,4.2,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Converter Academy,Total,Total,Number of students,Revised,z,250253,236954,220835,77617,112366,28561,2291,1430,41,144,55,588,33,10770,3341,7429,5349,10134,9198,638,298,3165,2867,298
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Converter Academy,Total,Total,Percentage,Revised,z,250253,94.7,88.2,31,44.9,11.4,0.9,0.6,low,0.1,low,0.2,low,4.3,1.3,3,2.1,4,3.7,0.3,0.1,1.3,1.1,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,FE college - 14-16,Total,Total,Number of students,Revised,z,1132,862,749,634,26,76,13,1,8,1,2,1,0,49,15,34,64,212,172,27,13,58,50,8
201617,Academic year,National,E92000001,England,State-funded mainstream schools,FE college - 14-16,Total,Total,Percentage,Revised,z,1132,76.1,66.2,56,2.3,6.7,1.1,0.1,0.7,0.1,0.2,0.1,0,4.3,1.3,3,5.7,18.7,15.2,2.4,1.1,5.1,4.4,0.7
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Free,Total,Total,Number of students,Revised,z,3362,3136,2980,1090,1529,305,56,39,2,3,1,10,1,100,31,69,56,163,150,8,5,63,46,17
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Free,Total,Total,Percentage,Revised,z,3362,93.3,88.6,32.4,45.5,9.1,1.7,1.2,0.1,0.1,low,0.3,low,3,0.9,2.1,1.7,4.8,4.5,0.2,0.1,1.9,1.4,0.5
201617,Academic year,National,E92000001,England,State-funded mainstream schools,LA maintained,Total,Total,Number of students,Revised,z,172078,160041,148557,62483,54281,30483,1310,676,40,129,33,398,34,7555,2195,5360,3929,9188,8330,556,302,2849,2613,236
201617,Academic year,National,E92000001,England,State-funded mainstream schools,LA maintained,Total,Total,Percentage,Revised,z,172078,93,86.3,36.3,31.5,17.7,0.8,0.4,low,0.1,low,0.2,low,4.4,1.3,3.1,2.3,5.3,4.8,0.3,0.2,1.7,1.5,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Non-selective school in highly selective area,Disadvantage Status,Disadvantaged,Number of students,Revised,z,9240,7976,7336,4092,2743,427,74,12,4,14,8,35,1,325,59,266,315,992,875,73,44,272,264,8
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Non-selective school in highly selective area,Disadvantage Status,Disadvantaged,Percentage,Revised,z,9240,86.3,79.4,44.3,29.7,4.6,0.8,0.1,low,0.2,0.1,0.4,low,3.5,0.6,2.9,3.4,10.7,9.5,0.8,0.5,2.9,2.9,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Non-selective school in highly selective area,Disadvantage Status,Not disadvantaged,Number of students,Revised,z,24435,23228,21374,8494,11668,1044,168,63,4,20,9,69,3,1227,322,905,627,889,826,46,17,318,292,26
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Non-selective school in highly selective area,Disadvantage Status,Not disadvantaged,Percentage,Revised,z,24435,95.1,87.5,34.8,47.8,4.3,0.7,0.3,low,0.1,low,0.3,low,5,1.3,3.7,2.6,3.6,3.4,0.2,0.1,1.3,1.2,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Non-selective school in highly selective area,Total,Total,Number of students,Revised,z,33675,31204,28710,12586,14411,1471,242,75,8,34,17,104,4,1552,381,1171,942,1881,1701,119,61,590,556,34
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Non-selective school in highly selective area,Total,Total,Percentage,Revised,z,33675,92.7,85.3,37.4,42.8,4.4,0.7,0.2,low,0.1,0.1,0.3,low,4.6,1.1,3.5,2.8,5.6,5.1,0.4,0.2,1.8,1.7,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Other non-selective school,Disadvantage Status,Disadvantaged,Number of students,Revised,z,126763,110311,102386,54994,31877,14622,893,247,62,193,46,334,11,4271,879,3392,3654,12868,11168,1080,620,3584,3453,131
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Other non-selective school,Disadvantage Status,Disadvantaged,Percentage,Revised,z,126763,87,80.8,43.4,25.1,11.5,0.7,0.2,low,0.2,low,0.3,low,3.4,0.7,2.7,2.9,10.2,8.8,0.9,0.5,2.8,2.7,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Other non-selective school,Disadvantage Status,Not disadvantaged,Number of students,Revised,z,334478,319061,295337,110213,130126,52194,2804,1680,47,168,49,806,54,16389,5202,11187,7335,11466,10736,501,229,3951,3391,560
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Other non-selective school,Disadvantage Status,Not disadvantaged,Percentage,Revised,z,334478,95.4,88.3,33,38.9,15.6,0.8,0.5,low,0.1,low,0.2,low,4.9,1.6,3.3,2.2,3.4,3.2,0.1,0.1,1.2,1,0.2
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Other non-selective school,Total,Total,Number of students,Revised,z,461241,429372,397723,165207,162003,66816,3697,1927,109,361,95,1140,65,20660,6081,14579,10989,24334,21904,1581,849,7535,6844,691
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Other non-selective school,Total,Total,Percentage,Revised,z,461241,93.1,86.2,35.8,35.1,14.5,0.8,0.4,low,0.1,low,0.2,low,4.5,1.3,3.2,2.4,5.3,4.7,0.3,0.2,1.6,1.5,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Selective school,Disadvantage Status,Disadvantaged,Number of students,Revised,z,1479,1444,1418,147,1193,65,13,8,0,1,0,4,0,15,9,6,11,27,25,1,1,8,8,0
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Selective school,Disadvantage Status,Disadvantaged,Percentage,Revised,z,1479,97.6,95.9,9.9,80.7,4.4,0.9,0.5,0,0.1,0,0.3,0,1,0.6,0.4,0.7,1.8,1.7,0.1,0.1,0.5,0.5,0
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Selective school,Disadvantage Status,Not disadvantaged,Number of students,Revised,z,21232,21028,20690,994,18663,682,351,331,1,3,0,13,3,261,197,64,77,109,105,3,1,95,89,6
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Selective school,Disadvantage Status,Not disadvantaged,Percentage,Revised,z,21232,99,97.4,4.7,87.9,3.2,1.7,1.6,low,low,0,0.1,low,1.2,0.9,0.3,0.4,0.5,0.5,low,low,0.4,0.4,low
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Selective school,Total,Total,Number of students,Revised,z,22711,22472,22108,1141,19856,747,364,339,1,4,0,17,3,276,206,70,88,136,130,4,2,103,97,6
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Selective school,Total,Total,Percentage,Revised,z,22711,98.9,97.3,5,87.4,3.3,1.6,1.5,low,low,0,0.1,low,1.2,0.9,0.3,0.4,0.6,0.6,low,low,0.5,0.4,low
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Sponsored Academy,Total,Total,Number of students,Revised,z,86431,78078,71914,35688,26315,9318,593,182,24,120,20,244,3,3699,932,2767,2465,6347,5631,441,275,2006,1840,166
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Sponsored Academy,Total,Total,Percentage,Revised,z,86431,90.3,83.2,41.3,30.4,10.8,0.7,0.2,low,0.1,low,0.3,low,4.3,1.1,3.2,2.9,7.3,6.5,0.5,0.3,2.3,2.1,0.2
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Studio,Total,Total,Number of students,Revised,z,1258,1117,984,491,369,105,19,5,2,0,1,11,0,72,24,48,61,115,88,18,9,26,25,1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Studio,Total,Total,Percentage,Revised,z,1258,88.8,78.2,39,29.3,8.3,1.5,0.4,0.2,0,0.1,0.9,0,5.7,1.9,3.8,4.8,9.1,7,1.4,0.7,2.1,2,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status,Disadvantaged,Number of students,Revised,z,137482,119731,111140,59233,35813,15114,980,267,66,208,54,373,12,4611,947,3664,3980,13887,12068,1154,665,3864,3725,139
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status,Disadvantaged,Percentage,Revised,z,137482,87.1,80.8,43.1,26,11,0.7,0.2,low,0.2,low,0.3,low,3.4,0.7,2.7,2.9,10.1,8.8,0.8,0.5,2.8,2.7,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status,Not disadvantaged,Number of students,Revised,z,380145,363317,337401,119701,160457,53920,3323,2074,52,191,58,888,60,17877,5721,12156,8039,12464,11667,550,247,4364,3772,592
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status,Not disadvantaged,Percentage,Revised,z,380145,95.6,88.8,31.5,42.2,14.2,0.9,0.5,low,0.1,low,0.2,low,4.7,1.5,3.2,2.1,3.3,3.1,0.1,0.1,1.1,1,0.2
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Any other ethnic group,Number of students,Revised,z,3782,3503,3456,1089,1758,578,31,c,c,c,c,c,c,15,c,c,32,191,c,c,c,88,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Any other ethnic group,Percentage,Revised,z,3782,92.6,91.4,28.8,46.5,15.3,0.8,c,c,c,c,c,c,0.4,c,c,0.8,5.1,c,c,c,2.3,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Asian or Asian British,Number of students,Revised,z,16742,15583,15314,4630,7091,3498,95,c,c,c,c,c,c,143,c,c,126,848,c,c,c,311,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Asian or Asian British,Percentage,Revised,z,16742,93.1,91.5,27.7,42.4,20.9,0.6,c,c,c,c,c,c,0.9,c,c,0.8,5.1,c,c,c,1.9,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Black or Black British,Number of students,Revised,z,13579,12627,12358,4109,5600,2551,98,c,c,c,c,c,c,148,c,c,121,692,c,c,c,260,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Black or Black British,Percentage,Revised,z,13579,93,91,30.3,41.2,18.8,0.7,c,c,c,c,c,c,1.1,c,c,0.9,5.1,c,c,c,1.9,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Mixed Dual background,Number of students,Revised,z,8583,7494,7101,3454,2533,1043,71,c,c,c,c,c,c,190,c,c,203,866,c,c,c,223,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Mixed Dual background,Percentage,Revised,z,8583,87.3,82.7,40.2,29.5,12.2,0.8,c,c,c,c,c,c,2.2,c,c,2.4,10.1,c,c,c,2.6,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Unclassified,Number of students,Revised,z,1816,1569,1436,775,455,192,14,c,c,c,c,c,c,66,c,c,67,179,c,c,c,68,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged Unclassified,Percentage,Revised,z,1816,86.4,79.1,42.7,25.1,10.6,0.8,c,c,c,c,c,c,3.6,c,c,3.7,9.9,c,c,c,3.7,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged White,Number of students,Revised,z,92980,78955,71475,45176,18376,7252,671,c,c,c,c,c,c,4049,c,c,3431,11111,c,c,c,2914,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Disadvantaged White,Percentage,Revised,z,92980,84.9,76.9,48.6,19.8,7.8,0.7,c,c,c,c,c,c,4.4,c,c,3.7,11.9,c,c,c,3.1,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Any other ethnic group,Number of students,Revised,z,4522,4221,4157,1152,2346,606,53,c,c,c,c,c,c,29,c,c,35,149,c,c,c,152,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Any other ethnic group,Percentage,Revised,z,4522,93.3,91.9,25.5,51.9,13.4,1.2,c,c,c,c,c,c,0.6,c,c,0.8,3.3,c,c,c,3.4,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Asian or Asian British,Number of students,Revised,z,37355,36008,35574,7564,20554,7129,327,c,c,c,c,c,c,268,c,c,166,806,c,c,c,541,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Asian or Asian British,Percentage,Revised,z,37355,96.4,95.2,20.2,55,19.1,0.9,c,c,c,c,c,c,0.7,c,c,0.4,2.2,c,c,c,1.4,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Black or Black British,Number of students,Revised,z,13808,13276,13019,3341,7216,2328,134,c,c,c,c,c,c,180,c,c,77,366,c,c,c,166,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Black or Black British,Percentage,Revised,z,13808,96.1,94.3,24.2,52.3,16.9,1,c,c,c,c,c,c,1.3,c,c,0.6,2.7,c,c,c,1.2,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Mixed Dual background,Number of students,Revised,z,14420,13726,13153,3832,7076,2092,153,c,c,c,c,c,c,369,c,c,204,500,c,c,c,194,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Mixed Dual background,Percentage,Revised,z,14420,95.2,91.2,26.6,49.1,14.5,1.1,c,c,c,c,c,c,2.6,c,c,1.4,3.5,c,c,c,1.3,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Unclassified,Number of students,Revised,z,4831,4394,4069,1647,1789,582,51,c,c,c,c,c,c,188,c,c,137,317,c,c,c,120,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged Unclassified,Percentage,Revised,z,4831,91,84.2,34.1,37,12,1.1,c,c,c,c,c,c,3.9,c,c,2.8,6.6,c,c,c,2.5,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged White,Number of students,Revised,z,305209,291692,267429,102165,121476,41183,2605,c,c,c,c,c,c,16843,c,c,7420,10326,c,c,c,3191,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Ethnicity Major,Not disadvantaged White,Percentage,Revised,z,305209,95.6,87.6,33.5,39.8,13.5,0.9,c,c,c,c,c,c,5.5,c,c,2.4,3.4,c,c,c,1,c,c
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Disadvantaged High prior,Number of students,Revised,z,35442,32730,30771,9498,15396,5580,297,138,16,c,c,120,c,1065,330,735,894,2236,1987,176,73,476,461,15
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Disadvantaged High prior,Percentage,Revised,z,35442,92.3,86.8,26.8,43.4,15.7,0.8,0.4,low,c,c,0.3,c,3,0.9,2.1,2.5,6.3,5.6,0.5,0.2,1.3,1.3,low
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Disadvantaged Low prior,Number of students,Revised,z,27676,22650,21164,16490,2843,1593,238,34,22,c,c,46,c,746,83,663,740,3740,3225,292,223,1286,1247,39
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Disadvantaged Low prior,Percentage,Revised,z,27676,81.8,76.5,59.6,10.3,5.8,0.9,0.1,0.1,c,c,0.2,c,2.7,0.3,2.4,2.7,13.5,11.7,1.1,0.8,4.6,4.5,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Disadvantaged Mid prior,Number of students,Revised,z,68576,59243,54239,30805,15953,7090,391,71,20,c,c,197,c,2737,517,2220,2267,7476,6455,664,357,1857,1808,49
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Disadvantaged Mid prior,Percentage,Revised,z,68576,86.4,79.1,44.9,23.3,10.3,0.6,0.1,low,c,c,0.3,c,4,0.8,3.2,3.3,10.9,9.4,1,0.5,2.7,2.6,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Disadvantaged Not recorded,Number of students,Revised,z,5788,5108,4966,2440,1621,851,54,24,8,c,c,10,c,63,17,46,79,435,401,22,12,245,209,36
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Disadvantaged Not recorded,Percentage,Revised,z,5788,88.3,85.8,42.2,28,14.7,0.9,0.4,0.1,c,c,0.2,c,1.1,0.3,0.8,1.4,7.5,6.9,0.4,0.2,4.2,3.6,0.6
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Not disadvantaged High prior,Number of students,Revised,z,172241,168263,160692,30087,98518,30242,1845,1401,10,c,c,375,c,5207,2548,2659,2364,3090,2933,114,43,888,859,29
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Not disadvantaged High prior,Percentage,Revised,z,172241,97.7,93.3,17.5,57.2,17.6,1.1,0.8,low,c,c,0.2,c,3,1.5,1.5,1.4,1.8,1.7,0.1,low,0.5,0.5,low
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Not disadvantaged Low prior,Number of students,Revised,z,34355,31428,28053,21094,4522,2195,242,21,14,c,c,69,c,2223,306,1917,1152,2134,1972,105,57,793,747,46
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Not disadvantaged Low prior,Percentage,Revised,z,34355,91.5,81.7,61.4,13.2,6.4,0.7,0.1,low,c,c,0.2,c,6.5,0.9,5.6,3.4,6.2,5.7,0.3,0.2,2.3,2.2,0.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Not disadvantaged Mid prior,Number of students,Revised,z,151161,143188,128796,61170,48089,18630,907,371,23,c,c,414,c,10176,2749,7427,4216,6368,5924,310,134,1605,1560,45
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Not disadvantaged Mid prior,Percentage,Revised,z,151161,94.7,85.2,40.5,31.8,12.3,0.6,0.2,low,c,c,0.3,c,6.7,1.8,4.9,2.8,4.2,3.9,0.2,0.1,1.1,1,low
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Not disadvantaged Not recorded,Number of students,Revised,z,22388,20438,19860,7350,9328,2853,329,281,5,c,c,30,c,271,118,153,307,872,838,21,13,1078,606,472
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS2,Not disadvantaged Not recorded,Percentage,Revised,z,22388,91.3,88.7,32.8,41.7,12.7,1.5,1.3,low,c,c,0.1,c,1.2,0.5,0.7,1.4,3.9,3.7,0.1,0.1,4.8,2.7,2.1
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS4 9-4,Disadvantaged KS4 E&M 9-4 achieved,Number of students,Revised,z,63583,60259,57084,18154,27998,10513,419,193,9,c,c,192,c,1859,596,1263,1316,2785,2536,195,54,539,511,28
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS4 9-4,Disadvantaged KS4 E&M 9-4 achieved,Percentage,Revised,z,63583,94.8,89.8,28.6,44,16.5,0.7,0.3,low,c,c,0.3,c,2.9,0.9,2,2.1,4.4,4,0.3,0.1,0.8,0.8,low
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS4 9-4,Disadvantaged KS4 E&M 9-4 not achieved,Number of students,Revised,z,73899,59472,54056,41079,7815,4601,561,74,57,c,c,181,c,2752,351,2401,2664,11102,9532,959,611,3325,3214,111
201617,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Disadvantage Status and Prior Attainment at KS4 9-4,Disadvantaged KS4 E&M 9-4 not achieved,Percentage,Revised,z,73899,80.5,73.1,55.6,10.6,6.2,0.8,0.1,0.1,c,c,0.2,c,3.7,0.5,3.2,3.6,15,12.9,1.3,0.8,4.5,4.3,0.2
