"geographic_level","area","level_or_type","minAch","maxAch"
"LEP","Heart of the South West","Apprenticeships: Total",5810,10090
"LEP","Heart of the South West","Community learning: Total",6940,12860
"LEP","Heart of the South West","Education and training: Total",19700,24280
"LEP","Heart of the South West","Further education and skills: Total",33140,45600
"LEP","Hertfordshire","Apprenticeships: Total",2230,3860
"LEP","Hertfordshire","Community learning: Total",4710,6590
"LEP","Hertfordshire","Education and training: Total",7800,9940
"LEP","Hertfordshire","Further education and skills: Total",15240,19620
"LEP","Hull and East Yorkshire","Apprenticeships: Total",2840,4880
"LEP","Hull and East Yorkshire","Community learning: Total",1420,4350
"LEP","Hull and East Yorkshire","Education and training: Total",7910,13280
"LEP","Hull and East Yorkshire","Further education and skills: Total",12260,22290
"LEP","Lancashire","Apprenticeships: Total",4850,10020
"LEP","Lancashire","Community learning: Total",9590,18780
"LEP","Lancashire","Education and training: Total",19570,29800
"LEP","Lancashire","Further education and skills: Total",31920,56740
"LEP","Leeds City Region","Apprenticeships: Total",6660,13120
"LEP","Leeds City Region","Community learning: Total",9040,17300
"LEP","Leeds City Region","Education and training: Total",33620,42320
"LEP","Leeds City Region","Further education and skills: Total",49190,70780
"LEP","Leicester and Leicestershire","Apprenticeships: Total",2840,5270
"LEP","Leicester and Leicestershire","Community learning: Total",3220,7250
"LEP","Leicester and Leicestershire","Education and training: Total",13150,17140
"LEP","Leicester and Leicestershire","Further education and skills: Total",18960,28000
"LEP","Liverpool City Region","Apprenticeships: Total",4680,10070
"LEP","Liverpool City Region","Community learning: Total",9840,19410
"LEP","Liverpool City Region","Education and training: Total",23060,33690
"LEP","Liverpool City Region","Further education and skills: Total",36280,60190
"LEP","London","Apprenticeships: Total",12850,23980
"LEP","London","Community learning: Total",54410,98080
"LEP","London","Education and training: Total",134590,172420
"LEP","London","Further education and skills: Total",204320,285360
"LEP","New Anglia","Apprenticeships: Total",4260,7700
"LEP","New Anglia","Community learning: Total",4700,8820
"LEP","New Anglia","Education and training: Total",12590,17490
"LEP","New Anglia","Further education and skills: Total",23560,32360
"LEP","North East","Apprenticeships: Total",6510,15750
"LEP","North East","Community learning: Total",7860,17750
"LEP","North East","Education and training: Total",34630,51640
"LEP","North East","Further education and skills: Total",47120,81750
"LEP","Oxfordshire","Apprenticeships: Total",1320,2500
"LEP","Oxfordshire","Community learning: Total",2620,5900
"LEP","Oxfordshire","Education and training: Total",4820,5920
"LEP","Oxfordshire","Further education and skills: Total",9680,13280
"LEP","Sheffield City Region","Apprenticeships: Total",3900,8920
"LEP","Sheffield City Region","Community learning: Total",3060,8420
"LEP","Sheffield City Region","Education and training: Total",19330,28220
"LEP","Sheffield City Region","Further education and skills: Total",26660,43640
"LEP","Solent","Apprenticeships: Total",4580,8040
"LEP","Solent","Community learning: Total",4060,9500
"LEP","Solent","Education and training: Total",12540,15630
"LEP","Solent","Further education and skills: Total",22000,33460
"LEP","South East","Apprenticeships: Total",9720,17500
"LEP","South East","Community learning: Total",15140,31540
"LEP","South East","Education and training: Total",34910,50040
"LEP","South East","Further education and skills: Total",60560,98040
"LEP","South East Midlands","Apprenticeships: Total",4260,7410
"LEP","South East Midlands","Community learning: Total",4210,10250
"LEP","South East Midlands","Education and training: Total",19850,24810
"LEP","South East Midlands","Further education and skills: Total",28800,41300
"LEP","Stoke-on-Trent and Staffordshire","Apprenticeships: Total",3480,7440
"LEP","Stoke-on-Trent and Staffordshire","Community learning: Total",3610,8330
"LEP","Stoke-on-Trent and Staffordshire","Education and training: Total",11340,15420
"LEP","Stoke-on-Trent and Staffordshire","Further education and skills: Total",19180,30150
"LEP","Swindon and Wiltshire","Apprenticeships: Total",2860,4340
"LEP","Swindon and Wiltshire","Community learning: Total",930,2720
"LEP","Swindon and Wiltshire","Education and training: Total",6180,7080
"LEP","Swindon and Wiltshire","Further education and skills: Total",10630,15150
"LEP","Tees Valley","Apprenticeships: Total",2390,5580
"LEP","Tees Valley","Community learning: Total",4700,8020
"LEP","Tees Valley","Education and training: Total",14980,22420
"LEP","Tees Valley","Further education and skills: Total",21530,34350
"LEP","Thames Valley Berkshire","Apprenticeships: Total",2010,3210
"LEP","Thames Valley Berkshire","Community learning: Total",4200,10360
"LEP","Thames Valley Berkshire","Education and training: Total",7340,9760
"LEP","Thames Valley Berkshire","Further education and skills: Total",14110,22820
"LEP","The Marches","Apprenticeships: Total",2380,4390
"LEP","The Marches","Community learning: Total",1300,3540
"LEP","The Marches","Education and training: Total",5830,9000
"LEP","The Marches","Further education and skills: Total",10090,17500
"LEP","West of England","Apprenticeships: Total",2860,4980
"LEP","West of England","Community learning: Total",3500,4060
"LEP","West of England","Education and training: Total",10560,16070
"LEP","West of England","Further education and skills: Total",17520,24890
"LEP","Worcestershire","Apprenticeships: Total",1550,3080
"LEP","Worcestershire","Community learning: Total",940,3530
"LEP","Worcestershire","Education and training: Total",4360,6350
"LEP","Worcestershire","Further education and skills: Total",7240,12420
"LEP","York and North Yorkshire","Apprenticeships: Total",3270,6480
"LEP","York and North Yorkshire","Community learning: Total",3710,5460
"LEP","York and North Yorkshire","Education and training: Total",7450,9090
"LEP","York and North Yorkshire","Further education and skills: Total",15570,19330
"LSIP","Brighton and Hove, East Sussex, West Sussex","Apprenticeships: Total",3330,6290
"LSIP","Brighton and Hove, East Sussex, West Sussex","Community learning: Total",3950,8110
"LSIP","Brighton and Hove, East Sussex, West Sussex","Education and training: Total",14670,18730
"LSIP","Brighton and Hove, East Sussex, West Sussex","Further education and skills: Total",23380,33790
"LSIP","Buckinghamshire ","Apprenticeships: Total",1000,1590
"LSIP","Buckinghamshire ","Community learning: Total",2140,4610
"LSIP","Buckinghamshire ","Education and training: Total",3430,3940
"LSIP","Buckinghamshire ","Further education and skills: Total",7200,9730
"LSIP","Cambridgeshire and Peterborough","Apprenticeships: Total",1780,3300
"LSIP","Cambridgeshire and Peterborough","Community learning: Total",1800,8740
"LSIP","Cambridgeshire and Peterborough","Education and training: Total",6710,8610
"LSIP","Cambridgeshire and Peterborough","Further education and skills: Total",11140,19760
"LSIP","Cheshire and Warrington","Apprenticeships: Total",2490,4950
"LSIP","Cheshire and Warrington","Community learning: Total",2470,7530
"LSIP","Cheshire and Warrington","Education and training: Total",8030,12090
"LSIP","Cheshire and Warrington","Further education and skills: Total",13150,23940
"LSIP","Cornwall and the Isles of Scilly","Apprenticeships: Total",1720,3480
"LSIP","Cornwall and the Isles of Scilly","Community learning: Total",1940,4550
"LSIP","Cornwall and the Isles of Scilly","Education and training: Total",6340,7990
"LSIP","Cornwall and the Isles of Scilly","Further education and skills: Total",10150,15580
"LSIP","Cumbria","Apprenticeships: Total",1880,3710
"LSIP","Cumbria","Community learning: Total",1240,3780
"LSIP","Cumbria","Education and training: Total",4510,7040
"LSIP","Cumbria","Further education and skills: Total",7970,13540
"LSIP","Derbyshire and Nottinghamshire","Apprenticeships: Total",6620,13230
"LSIP","Derbyshire and Nottinghamshire","Community learning: Total",7380,20090
"LSIP","Derbyshire and Nottinghamshire","Education and training: Total",26940,34290
"LSIP","Derbyshire and Nottinghamshire","Further education and skills: Total",41150,65520
"LSIP","Dorset","Apprenticeships: Total",4720,8240
"LSIP","Dorset","Community learning: Total",4110,8630
"LSIP","Dorset","Education and training: Total",11890,14870
"LSIP","Dorset","Further education and skills: Total",22830,31120
"LSIP","Enterprise M3 LEP (including all of Surrey)","Apprenticeships: Total",1880,3200
"LSIP","Enterprise M3 LEP (including all of Surrey)","Community learning: Total",6010,12170
"LSIP","Enterprise M3 LEP (including all of Surrey)","Education and training: Total",6680,8800
"LSIP","Enterprise M3 LEP (including all of Surrey)","Further education and skills: Total",15430,23830
"LSIP","Essex, Southend-on-Sea and Thurrock","Apprenticeships: Total",4330,7900
"LSIP","Essex, Southend-on-Sea and Thurrock","Community learning: Total",6640,12640
"LSIP","Essex, Southend-on-Sea and Thurrock","Education and training: Total",14990,19370
"LSIP","Essex, Southend-on-Sea and Thurrock","Further education and skills: Total",25710,38160
"LSIP","Gloucestershire","Apprenticeships: Total",1650,3000
"LSIP","Gloucestershire","Community learning: Total",1750,3150
"LSIP","Gloucestershire","Education and training: Total",4990,6570
"LSIP","Gloucestershire","Further education and skills: Total",9560,11710
"LSIP","Greater Lincolnshire","Apprenticeships: Total",3280,6180
"LSIP","Greater Lincolnshire","Community learning: Total",6300,10730
"LSIP","Greater Lincolnshire","Education and training: Total",12990,17340
"LSIP","Greater Lincolnshire","Further education and skills: Total",21870,32860
"LSIP","Greater London","Apprenticeships: Total",12850,23980
"LSIP","Greater London","Community learning: Total",54410,98080
"LSIP","Greater London","Education and training: Total",134590,172420
"LSIP","Greater London","Further education and skills: Total",204320,285360
"LSIP","Greater Manchester","Apprenticeships: Total",8170,16280
"LSIP","Greater Manchester","Community learning: Total",12960,25060
"LSIP","Greater Manchester","Education and training: Total",38290,53210
"LSIP","Greater Manchester","Further education and skills: Total",55830,86980
"LSIP","Heart of the South-West","Apprenticeships: Total",5810,10860
"LSIP","Heart of the South-West","Community learning: Total",6940,14630
"LSIP","Heart of the South-West","Education and training: Total",19700,25400
"LSIP","Heart of the South-West","Further education and skills: Total",33140,50410
"LSIP","Hertfordshire","Apprenticeships: Total",2230,3860
"LSIP","Hertfordshire","Community learning: Total",4710,6590
"LSIP","Hertfordshire","Education and training: Total",7800,9940
"LSIP","Hertfordshire","Further education and skills: Total",15240,19620
"LSIP","Hull and East Yorkshire","Apprenticeships: Total",2840,4880
"LSIP","Hull and East Yorkshire","Community learning: Total",1420,4350
"LSIP","Hull and East Yorkshire","Education and training: Total",7910,13280
"LSIP","Hull and East Yorkshire","Further education and skills: Total",12260,22290
"LSIP","Kent and Medway","Apprenticeships: Total",4290,7170
"LSIP","Kent and Medway","Community learning: Total",6770,15700
"LSIP","Kent and Medway","Education and training: Total",14860,23330
"LSIP","Kent and Medway","Further education and skills: Total",27020,45470
"LSIP","Lancashire","Apprenticeships: Total",4850,10020
"LSIP","Lancashire","Community learning: Total",9590,18780
"LSIP","Lancashire","Education and training: Total",19570,29800
"LSIP","Lancashire","Further education and skills: Total",31920,56740
"LSIP","Leicester and Leicestershire","Apprenticeships: Total",2840,5270
"LSIP","Leicester and Leicestershire","Community learning: Total",3220,7250
"LSIP","Leicester and Leicestershire","Education and training: Total",13150,17140
"LSIP","Leicester and Leicestershire","Further education and skills: Total",18960,28000
"LSIP","Liverpool City Region","Apprenticeships: Total",4680,10070
"LSIP","Liverpool City Region","Community learning: Total",9840,19410
"LSIP","Liverpool City Region","Education and training: Total",23060,33690
"LSIP","Liverpool City Region","Further education and skills: Total",36280,60190
"LSIP","Norfolk and Suffolk ","Apprenticeships: Total",4260,5750
"LSIP","Norfolk and Suffolk ","Community learning: Total",4700,8650
"LSIP","Norfolk and Suffolk ","Education and training: Total",11530,16170
"LSIP","Norfolk and Suffolk ","Further education and skills: Total",23560,30090
"LSIP","Norfolk and Suffolk (Greater Anglia)","Apprenticeships: Total",1890,1950
"LSIP","Norfolk and Suffolk (Greater Anglia)","Community learning: Total",1350,1690
"LSIP","Norfolk and Suffolk (Greater Anglia)","Education and training: Total",4420,4790
"LSIP","Norfolk and Suffolk (Greater Anglia)","Further education and skills: Total",7830,8160
"LSIP","North East","Apprenticeships: Total",4160,10470
"LSIP","North East","Community learning: Total",5410,12440
"LSIP","North East","Education and training: Total",23190,32780
"LSIP","North East","Further education and skills: Total",31850,54900
"LSIP","North of Tyne","Apprenticeships: Total",2350,5280
"LSIP","North of Tyne","Community learning: Total",2450,5310
"LSIP","North of Tyne","Education and training: Total",11440,18860
"LSIP","North of Tyne","Further education and skills: Total",15270,26850
"LSIP","Oxfordshire","Apprenticeships: Total",1320,2500
"LSIP","Oxfordshire","Community learning: Total",2620,5900
"LSIP","Oxfordshire","Education and training: Total",4820,5920
"LSIP","Oxfordshire","Further education and skills: Total",9680,13280
"LSIP","Solent","Apprenticeships: Total",4580,8040
"LSIP","Solent","Community learning: Total",4060,9500
"LSIP","Solent","Education and training: Total",12540,15630
"LSIP","Solent","Further education and skills: Total",22000,33460
"LSIP","South East Midlands","Apprenticeships: Total",4260,7410
"LSIP","South East Midlands","Community learning: Total",4210,10250
"LSIP","South East Midlands","Education and training: Total",19850,24810
"LSIP","South East Midlands","Further education and skills: Total",28800,41300
"LSIP","South Yorkshire","Apprenticeships: Total",3900,8920
"LSIP","South Yorkshire","Community learning: Total",3060,8420
"LSIP","South Yorkshire","Education and training: Total",19330,28220
"LSIP","South Yorkshire","Further education and skills: Total",26660,43640
"LSIP","Stoke-on-Trent and Staffordshire","Apprenticeships: Total",3480,7440
"LSIP","Stoke-on-Trent and Staffordshire","Community learning: Total",3610,8330
"LSIP","Stoke-on-Trent and Staffordshire","Education and training: Total",11340,15420
"LSIP","Stoke-on-Trent and Staffordshire","Further education and skills: Total",19180,30150
"LSIP","Swindon and Wiltshire","Apprenticeships: Total",2860,4340
"LSIP","Swindon and Wiltshire","Community learning: Total",930,2720
"LSIP","Swindon and Wiltshire","Education and training: Total",6180,7080
"LSIP","Swindon and Wiltshire","Further education and skills: Total",10630,15150
"LSIP","Tees Valley","Apprenticeships: Total",2390,5580
"LSIP","Tees Valley","Community learning: Total",4700,8020
"LSIP","Tees Valley","Education and training: Total",14980,22420
"LSIP","Tees Valley","Further education and skills: Total",21530,34350
"LSIP","Thames Valley Berkshire","Apprenticeships: Total",2010,3210
"LSIP","Thames Valley Berkshire","Community learning: Total",4200,10360
"LSIP","Thames Valley Berkshire","Education and training: Total",7340,9760
"LSIP","Thames Valley Berkshire","Further education and skills: Total",14110,22820
"LSIP","The Marches","Apprenticeships: Total",2380,4390
"LSIP","The Marches","Community learning: Total",1300,3540
"LSIP","The Marches","Education and training: Total",5830,9000
"LSIP","The Marches","Further education and skills: Total",10090,17500
"LSIP","West Midlands and Warwickshire","Apprenticeships: Total",9440,19330
"LSIP","West Midlands and Warwickshire","Community learning: Total",10840,24590
"LSIP","West Midlands and Warwickshire","Education and training: Total",49450,76410
"LSIP","West Midlands and Warwickshire","Further education and skills: Total",67650,113150
"LSIP","West of England and North Somerset","Apprenticeships: Total",2860,4980
"LSIP","West of England and North Somerset","Community learning: Total",3500,4060
"LSIP","West of England and North Somerset","Education and training: Total",10560,16070
"LSIP","West of England and North Somerset","Further education and skills: Total",17520,24890
"LSIP","West Yorkshire","Apprenticeships: Total",6660,13120
"LSIP","West Yorkshire","Community learning: Total",9040,17300
"LSIP","West Yorkshire","Education and training: Total",33620,42320
"LSIP","West Yorkshire","Further education and skills: Total",49190,70780
"LSIP","Worcestershire","Apprenticeships: Total",1550,3080
"LSIP","Worcestershire","Community learning: Total",940,3530
"LSIP","Worcestershire","Education and training: Total",4360,6350
"LSIP","Worcestershire","Further education and skills: Total",7240,12420
"LSIP","York and North Yorkshire","Apprenticeships: Total",3270,6480
"LSIP","York and North Yorkshire","Community learning: Total",3710,5460
"LSIP","York and North Yorkshire","Education and training: Total",7450,9090
"LSIP","York and North Yorkshire","Further education and skills: Total",15570,19330
"MCA","Cambridgeshire and Peterborough","Apprenticeships: Total",1780,3300
"MCA","Cambridgeshire and Peterborough","Community learning: Total",1800,8740
"MCA","Cambridgeshire and Peterborough","Education and training: Total",6710,8610
"MCA","Cambridgeshire and Peterborough","Further education and skills: Total",11140,19760
"MCA","Greater Manchester","Apprenticeships: Total",8170,16280
"MCA","Greater Manchester","Community learning: Total",12960,25060
"MCA","Greater Manchester","Education and training: Total",38290,53210
"MCA","Greater Manchester","Further education and skills: Total",55830,86980
"MCA","Liverpool City Region","Apprenticeships: Total",4680,10070
"MCA","Liverpool City Region","Community learning: Total",9840,19410
"MCA","Liverpool City Region","Education and training: Total",23060,33690
"MCA","Liverpool City Region","Further education and skills: Total",36280,60190
"MCA","North East","Apprenticeships: Total",4160,10470
"MCA","North East","Community learning: Total",5410,12440
"MCA","North East","Education and training: Total",23190,32780
"MCA","North East","Further education and skills: Total",31850,54900
"MCA","North of Tyne","Apprenticeships: Total",2350,5280
"MCA","North of Tyne","Community learning: Total",2450,5310
"MCA","North of Tyne","Education and training: Total",11440,18860
"MCA","North of Tyne","Further education and skills: Total",15270,26850
"MCA","South Yorkshire","Apprenticeships: Total",3900,8920
"MCA","South Yorkshire","Community learning: Total",3060,8420
"MCA","South Yorkshire","Education and training: Total",19330,28220
"MCA","South Yorkshire","Further education and skills: Total",26660,43640
"MCA","Tees Valley","Apprenticeships: Total",2390,5580
"MCA","Tees Valley","Community learning: Total",4700,8020
"MCA","Tees Valley","Education and training: Total",14980,22420
"MCA","Tees Valley","Further education and skills: Total",21530,34350
"MCA","West Midlands","Apprenticeships: Total",8040,16710
"MCA","West Midlands","Community learning: Total",9800,22450
"MCA","West Midlands","Education and training: Total",44550,70910
"MCA","West Midlands","Further education and skills: Total",59870,103090
"MCA","West of England","Apprenticeships: Total",2330,4040
"MCA","West of England","Community learning: Total",2920,3350
"MCA","West of England","Education and training: Total",7950,12920
"MCA","West of England","Further education and skills: Total",13710,20040
"MCA","West Yorkshire","Apprenticeships: Total",6660,13120
"MCA","West Yorkshire","Community learning: Total",9040,17300
"MCA","West Yorkshire","Education and training: Total",33620,42320
"MCA","West Yorkshire","Further education and skills: Total",49190,70780
