"metric","breakdown","geogConcat","subgroup","Occupation (SOC2020 Major Group)"
"L3PlusRate","Age","East Midlands CA","20-24","All"
"L3PlusRate","Age","East Midlands CA","30-39","All"
"L3PlusRate","Age","East Midlands CA","40-49","All"
"L3PlusRate","Age","East Midlands CA","50-64","All"
"L3PlusRate","Age","East Midlands CA","16-19","All"
"L3PlusRate","Age","East Midlands LSIP","25-29","All"
"L3PlusRate","Age","East Midlands LSIP","20-24","All"
"L3PlusRate","Age","East Midlands LSIP","30-39","All"
"L3PlusRate","Age","East Midlands LSIP","40-49","All"
"L3PlusRate","Age","East Midlands LSIP","50-64","All"
"L3PlusRate","Age","East Midlands LSIP","16-19","All"
"L3PlusRate","Age","England","25-29","All"
"L3PlusRate","Age","England","30-39","All"
"L3PlusRate","Age","England","20-24","All"
"L3PlusRate","Age","England","40-49","All"
"L3PlusRate","Age","England","50-64","All"
"L3PlusRate","Age","England","16-19","All"
"L3PlusRate","Age","Gloucestershire LSIP","30-39","All"
"L3PlusRate","Age","Gloucestershire LSIP","40-49","All"
"L3PlusRate","Age","Gloucestershire LSIP","25-29","All"
"L3PlusRate","Age","Gloucestershire LSIP","20-24","All"
"L3PlusRate","Age","Gloucestershire LSIP","50-64","All"
"L3PlusRate","Age","Gloucestershire LSIP","16-19","All"
"L3PlusRate","Age","Greater Devon LSIP","20-24","All"
"L3PlusRate","Age","Greater Devon LSIP","40-49","All"
"L3PlusRate","Age","Greater Devon LSIP","30-39","All"
"L3PlusRate","Age","Greater Devon LSIP","25-29","All"
"L3PlusRate","Age","Greater Devon LSIP","50-64","All"
"L3PlusRate","Age","Greater Devon LSIP","16-19","All"
"L3PlusRate","Age","Greater Essex LSIP","20-24","All"
"L3PlusRate","Age","Greater Essex LSIP","30-39","All"
"L3PlusRate","Age","Greater Essex LSIP","25-29","All"
"L3PlusRate","Age","Greater Essex LSIP","40-49","All"
"L3PlusRate","Age","Greater Essex LSIP","50-64","All"
"L3PlusRate","Age","Greater Essex LSIP","16-19","All"
"L3PlusRate","Age","Greater Lincolnshire CA","25-29","All"
"L3PlusRate","Age","Greater Lincolnshire CA","30-39","All"
"L3PlusRate","Age","Greater Lincolnshire CA","40-49","All"
"L3PlusRate","Age","Greater Lincolnshire CA","50-64","All"
"L3PlusRate","Age","Greater Lincolnshire CA","20-24","All"
"L3PlusRate","Age","Greater Lincolnshire CA","16-19","All"
"L3PlusRate","Age","Greater Lincolnshire LSIP","25-29","All"
"L3PlusRate","Age","Greater Lincolnshire LSIP","30-39","All"
"L3PlusRate","Age","Greater Lincolnshire LSIP","40-49","All"
"L3PlusRate","Age","Greater Lincolnshire LSIP","50-64","All"
"L3PlusRate","Age","Greater Lincolnshire LSIP","20-24","All"
"L3PlusRate","Age","Greater Lincolnshire LSIP","16-19","All"
"L3PlusRate","Age","Greater London Authority CA","25-29","All"
"L3PlusRate","Age","Greater London Authority CA","30-39","All"
"L3PlusRate","Age","Greater London Authority CA","20-24","All"
"L3PlusRate","Age","Greater London Authority CA","40-49","All"
"L3PlusRate","Age","Greater London Authority CA","50-64","All"
"L3PlusRate","Age","Greater London Authority CA","16-19","All"
"L3PlusRate","Age","Greater Manchester CA","25-29","All"
"L3PlusRate","Age","Greater Manchester CA","30-39","All"
"L3PlusRate","Age","Greater Manchester CA","40-49","All"
"L3PlusRate","Age","Greater Manchester CA","20-24","All"
"L3PlusRate","Age","Greater Manchester CA","50-64","All"
"L3PlusRate","Age","Greater Manchester CA","16-19","All"
"L3PlusRate","Age","Greater Manchester LSIP","25-29","All"
"L3PlusRate","Age","Greater Manchester LSIP","30-39","All"
"L3PlusRate","Age","Greater Manchester LSIP","40-49","All"
"L3PlusRate","Age","Greater Manchester LSIP","20-24","All"
"L3PlusRate","Age","Greater Manchester LSIP","50-64","All"
"L3PlusRate","Age","Greater Manchester LSIP","16-19","All"
"L3PlusRate","Age","Hampshire and the Solent LSIP","20-24","All"
"L3PlusRate","Age","Hampshire and the Solent LSIP","30-39","All"
"L3PlusRate","Age","Hampshire and the Solent LSIP","40-49","All"
"L3PlusRate","Age","Hampshire and the Solent LSIP","25-29","All"
"L3PlusRate","Age","Hampshire and the Solent LSIP","50-64","All"
"L3PlusRate","Age","Hampshire and the Solent LSIP","16-19","All"
"L3PlusRate","Age","Hertfordshire LSIP","40-49","All"
"L3PlusRate","Age","Hertfordshire LSIP","30-39","All"
"L3PlusRate","Age","Hertfordshire LSIP","25-29","All"
"L3PlusRate","Age","Hertfordshire LSIP","20-24","All"
"L3PlusRate","Age","Hertfordshire LSIP","50-64","All"
"L3PlusRate","Age","Hertfordshire LSIP","16-19","All"
"L3PlusRate","Age","Hull and East Yorkshire CA","30-39","All"
"L3PlusRate","Age","Hull and East Yorkshire CA","25-29","All"
"L3PlusRate","Age","Hull and East Yorkshire CA","40-49","All"
"L3PlusRate","Age","Hull and East Yorkshire CA","50-64","All"
"L3PlusRate","Age","Hull and East Yorkshire CA","20-24","All"
"L3PlusRate","Age","Hull and East Yorkshire CA","16-19","All"
"L3PlusRate","Age","Hull and East Yorkshire LSIP","30-39","All"
"L3PlusRate","Age","Hull and East Yorkshire LSIP","25-29","All"
"L3PlusRate","Age","Hull and East Yorkshire LSIP","40-49","All"
"L3PlusRate","Age","Hull and East Yorkshire LSIP","50-64","All"
"L3PlusRate","Age","Hull and East Yorkshire LSIP","20-24","All"
"L3PlusRate","Age","Hull and East Yorkshire LSIP","16-19","All"
"L3PlusRate","Age","Kent and Medway LSIP","25-29","All"
"L3PlusRate","Age","Kent and Medway LSIP","30-39","All"
"L3PlusRate","Age","Kent and Medway LSIP","40-49","All"
"L3PlusRate","Age","Kent and Medway LSIP","20-24","All"
"L3PlusRate","Age","Kent and Medway LSIP","50-64","All"
"L3PlusRate","Age","Kent and Medway LSIP","16-19","All"
"L3PlusRate","Age","Lancashire CA","25-29","All"
"L3PlusRate","Age","Lancashire CA","30-39","All"
"L3PlusRate","Age","Lancashire CA","40-49","All"
"L3PlusRate","Age","Lancashire CA","20-24","All"
"L3PlusRate","Age","Lancashire CA","50-64","All"
"L3PlusRate","Age","Lancashire CA","16-19","All"
"L3PlusRate","Age","Lancashire LSIP","25-29","All"
"L3PlusRate","Age","Lancashire LSIP","30-39","All"
"L3PlusRate","Age","Lancashire LSIP","40-49","All"
"L3PlusRate","Age","Lancashire LSIP","20-24","All"
"L3PlusRate","Age","Lancashire LSIP","50-64","All"
"L3PlusRate","Age","Lancashire LSIP","16-19","All"
"L3PlusRate","Age","Leicester, Leicestershire and Rutland LSIP","20-24","All"
"L3PlusRate","Age","Leicester, Leicestershire and Rutland LSIP","25-29","All"
"L3PlusRate","Age","Leicester, Leicestershire and Rutland LSIP","30-39","All"
"L3PlusRate","Age","Leicester, Leicestershire and Rutland LSIP","50-64","All"
"L3PlusRate","Age","Leicester, Leicestershire and Rutland LSIP","40-49","All"
"L3PlusRate","Age","Leicester, Leicestershire and Rutland LSIP","16-19","All"
"L3PlusRate","Age","Liverpool City Region CA","30-39","All"
"L3PlusRate","Age","Liverpool City Region CA","20-24","All"
"L3PlusRate","Age","Liverpool City Region CA","25-29","All"
"L3PlusRate","Age","Liverpool City Region CA","40-49","All"
"L3PlusRate","Age","Liverpool City Region CA","50-64","All"
"L3PlusRate","Age","Liverpool City Region CA","16-19","All"
"L3PlusRate","Age","Liverpool City Region LSIP","30-39","All"
"L3PlusRate","Age","Liverpool City Region LSIP","20-24","All"
"L3PlusRate","Age","Liverpool City Region LSIP","25-29","All"
"L3PlusRate","Age","Liverpool City Region LSIP","40-49","All"
"L3PlusRate","Age","Liverpool City Region LSIP","50-64","All"
"L3PlusRate","Age","Liverpool City Region LSIP","16-19","All"
"L3PlusRate","Age","Local London LSIP","25-29","All"
"L3PlusRate","Age","Local London LSIP","20-24","All"
"L3PlusRate","Age","Local London LSIP","30-39","All"
"L3PlusRate","Age","Local London LSIP","40-49","All"
"L3PlusRate","Age","Local London LSIP","50-64","All"
"L3PlusRate","Age","Local London LSIP","16-19","All"
"L3PlusRate","Age","Norfolk and Suffolk LSIP","20-24","All"
"L3PlusRate","Age","Norfolk and Suffolk LSIP","25-29","All"
"L3PlusRate","Age","Norfolk and Suffolk LSIP","30-39","All"
"L3PlusRate","Age","Norfolk and Suffolk LSIP","40-49","All"
"L3PlusRate","Age","Norfolk and Suffolk LSIP","50-64","All"
"L3PlusRate","Age","Norfolk and Suffolk LSIP","16-19","All"
"L3PlusRate","Age","North East CA","30-39","All"
"L3PlusRate","Age","North East CA","20-24","All"
"L3PlusRate","Age","North East CA","25-29","All"
"L3PlusRate","Age","North East CA","40-49","All"
"L3PlusRate","Age","North East CA","50-64","All"
"L3PlusRate","Age","North East CA","16-19","All"
"L3PlusRate","Age","North East LSIP","30-39","All"
"L3PlusRate","Age","North East LSIP","20-24","All"
"L3PlusRate","Age","North East LSIP","25-29","All"
"L3PlusRate","Age","North East LSIP","40-49","All"
"L3PlusRate","Age","North East LSIP","50-64","All"
"L3PlusRate","Age","North East LSIP","16-19","All"
"L3PlusRate","Age","Oxfordshire LSIP","25-29","All"
"L3PlusRate","Age","Oxfordshire LSIP","30-39","All"
"L3PlusRate","Age","Oxfordshire LSIP","40-49","All"
"L3PlusRate","Age","Oxfordshire LSIP","50-64","All"
"L3PlusRate","Age","Oxfordshire LSIP","20-24","All"
"L3PlusRate","Age","Oxfordshire LSIP","16-19","All"
"L3PlusRate","Age","Somerset LSIP","25-29","All"
"L3PlusRate","Age","Somerset LSIP","20-24","All"
"L3PlusRate","Age","Somerset LSIP","30-39","All"
"L3PlusRate","Age","Somerset LSIP","40-49","All"
"L3PlusRate","Age","Somerset LSIP","50-64","All"
"L3PlusRate","Age","Somerset LSIP","16-19","All"
"L3PlusRate","Age","South London Partnership LSIP","25-29","All"
"L3PlusRate","Age","South London Partnership LSIP","20-24","All"
"L3PlusRate","Age","South London Partnership LSIP","30-39","All"
"L3PlusRate","Age","South London Partnership LSIP","40-49","All"
"L3PlusRate","Age","South London Partnership LSIP","50-64","All"
"L3PlusRate","Age","South London Partnership LSIP","16-19","All"
"L3PlusRate","Age","South Yorkshire CA","25-29","All"
"L3PlusRate","Age","South Yorkshire CA","30-39","All"
"L3PlusRate","Age","South Yorkshire CA","20-24","All"
"L3PlusRate","Age","South Yorkshire CA","40-49","All"
"L3PlusRate","Age","South Yorkshire CA","50-64","All"
"L3PlusRate","Age","South Yorkshire CA","16-19","All"
"L3PlusRate","Age","South Yorkshire LSIP","25-29","All"
"L3PlusRate","Age","South Yorkshire LSIP","30-39","All"
"L3PlusRate","Age","South Yorkshire LSIP","20-24","All"
"L3PlusRate","Age","South Yorkshire LSIP","40-49","All"
"L3PlusRate","Age","South Yorkshire LSIP","50-64","All"
"L3PlusRate","Age","South Yorkshire LSIP","16-19","All"
"L3PlusRate","Age","South-East Midlands LSIP","25-29","All"
"L3PlusRate","Age","South-East Midlands LSIP","40-49","All"
"L3PlusRate","Age","South-East Midlands LSIP","30-39","All"
"L3PlusRate","Age","South-East Midlands LSIP","20-24","All"
"L3PlusRate","Age","South-East Midlands LSIP","50-64","All"
"L3PlusRate","Age","South-East Midlands LSIP","16-19","All"
"L3PlusRate","Age","Stoke-on-Trent and Staffordshire LSIP","25-29","All"
"L3PlusRate","Age","Stoke-on-Trent and Staffordshire LSIP","20-24","All"
"L3PlusRate","Age","Stoke-on-Trent and Staffordshire LSIP","40-49","All"
"L3PlusRate","Age","Stoke-on-Trent and Staffordshire LSIP","30-39","All"
"L3PlusRate","Age","Stoke-on-Trent and Staffordshire LSIP","50-64","All"
"L3PlusRate","Age","Stoke-on-Trent and Staffordshire LSIP","16-19","All"
"L3PlusRate","Age","Surrey LSIP","25-29","All"
"L3PlusRate","Age","Surrey LSIP","30-39","All"
"L3PlusRate","Age","Surrey LSIP","40-49","All"
"L3PlusRate","Age","Surrey LSIP","20-24","All"
"L3PlusRate","Age","Surrey LSIP","50-64","All"
"L3PlusRate","Age","Surrey LSIP","16-19","All"
"L3PlusRate","Age","Sussex and Brighton LSIP","25-29","All"
"L3PlusRate","Age","Sussex and Brighton LSIP","40-49","All"
"L3PlusRate","Age","Sussex and Brighton LSIP","30-39","All"
"L3PlusRate","Age","Sussex and Brighton LSIP","20-24","All"
"L3PlusRate","Age","Sussex and Brighton LSIP","50-64","All"
"L3PlusRate","Age","Sussex and Brighton LSIP","16-19","All"
"L3PlusRate","Age","Swindon and Wiltshire LSIP","25-29","All"
"L3PlusRate","Age","Swindon and Wiltshire LSIP","40-49","All"
"L3PlusRate","Age","Swindon and Wiltshire LSIP","20-24","All"
"L3PlusRate","Age","Swindon and Wiltshire LSIP","30-39","All"
"L3PlusRate","Age","Swindon and Wiltshire LSIP","50-64","All"
"L3PlusRate","Age","Swindon and Wiltshire LSIP","16-19","All"
"L3PlusRate","Age","Tees Valley CA","25-29","All"
"L3PlusRate","Age","Tees Valley CA","20-24","All"
"L3PlusRate","Age","Tees Valley CA","30-39","All"
"L3PlusRate","Age","Tees Valley CA","40-49","All"
"L3PlusRate","Age","Tees Valley CA","50-64","All"
"L3PlusRate","Age","Tees Valley CA","16-19","All"
"L3PlusRate","Age","Tees Valley LSIP","25-29","All"
"L3PlusRate","Age","Tees Valley LSIP","20-24","All"
"L3PlusRate","Age","Tees Valley LSIP","30-39","All"
"L3PlusRate","Age","Tees Valley LSIP","40-49","All"
"L3PlusRate","Age","Tees Valley LSIP","50-64","All"
"L3PlusRate","Age","Tees Valley LSIP","16-19","All"
"L3PlusRate","Age","Thames Valley Berkshire LSIP","20-24","All"
"L3PlusRate","Age","Thames Valley Berkshire LSIP","30-39","All"
"L3PlusRate","Age","Thames Valley Berkshire LSIP","25-29","All"
"L3PlusRate","Age","Thames Valley Berkshire LSIP","40-49","All"
"L3PlusRate","Age","Thames Valley Berkshire LSIP","50-64","All"
"L3PlusRate","Age","Thames Valley Berkshire LSIP","16-19","All"
"L3PlusRate","Age","The Marches LSIP","25-29","All"
"L3PlusRate","Age","The Marches LSIP","40-49","All"
"L3PlusRate","Age","The Marches LSIP","30-39","All"
"L3PlusRate","Age","The Marches LSIP","20-24","All"
"L3PlusRate","Age","The Marches LSIP","50-64","All"
"L3PlusRate","Age","The Marches LSIP","16-19","All"
"L3PlusRate","Age","Warwickshire LSIP","25-29","All"
"L3PlusRate","Age","Warwickshire LSIP","40-49","All"
"L3PlusRate","Age","Warwickshire LSIP","30-39","All"
"L3PlusRate","Age","Warwickshire LSIP","20-24","All"
"L3PlusRate","Age","Warwickshire LSIP","50-64","All"
"L3PlusRate","Age","Warwickshire LSIP","16-19","All"
"L3PlusRate","Age","West London Alliance LSIP","25-29","All"
"L3PlusRate","Age","West London Alliance LSIP","20-24","All"
"L3PlusRate","Age","West London Alliance LSIP","30-39","All"
"L3PlusRate","Age","West London Alliance LSIP","40-49","All"
"L3PlusRate","Age","West London Alliance LSIP","50-64","All"
"L3PlusRate","Age","West London Alliance LSIP","16-19","All"
"L3PlusRate","Age","West Midlands CA","25-29","All"
"L3PlusRate","Age","West Midlands CA","20-24","All"
"L3PlusRate","Age","West Midlands CA","30-39","All"
"L3PlusRate","Age","West Midlands CA","40-49","All"
"L3PlusRate","Age","West Midlands CA","50-64","All"
"L3PlusRate","Age","West Midlands CA","16-19","All"
"L3PlusRate","Age","West Midlands LSIP","25-29","All"
"L3PlusRate","Age","West Midlands LSIP","20-24","All"
"L3PlusRate","Age","West Midlands LSIP","30-39","All"
"L3PlusRate","Age","West Midlands LSIP","40-49","All"
"L3PlusRate","Age","West Midlands LSIP","50-64","All"
"L3PlusRate","Age","West Midlands LSIP","16-19","All"
"L3PlusRate","Age","West Yorkshire CA","25-29","All"
"L3PlusRate","Age","West Yorkshire CA","30-39","All"
"L3PlusRate","Age","West Yorkshire CA","20-24","All"
"L3PlusRate","Age","West Yorkshire CA","40-49","All"
"L3PlusRate","Age","West Yorkshire CA","50-64","All"
"L3PlusRate","Age","West Yorkshire CA","16-19","All"
"L3PlusRate","Age","West Yorkshire LSIP","25-29","All"
"L3PlusRate","Age","West Yorkshire LSIP","30-39","All"
"L3PlusRate","Age","West Yorkshire LSIP","20-24","All"
"L3PlusRate","Age","West Yorkshire LSIP","40-49","All"
"L3PlusRate","Age","West Yorkshire LSIP","50-64","All"
"L3PlusRate","Age","West Yorkshire LSIP","16-19","All"
"L3PlusRate","Age","West of England CA","25-29","All"
"L3PlusRate","Age","West of England CA","30-39","All"
"L3PlusRate","Age","West of England CA","40-49","All"
"L3PlusRate","Age","West of England CA","20-24","All"
"L3PlusRate","Age","West of England CA","50-64","All"
"L3PlusRate","Age","West of England CA","16-19","All"
"L3PlusRate","Age","West of England and North Somerset LSIP","25-29","All"
"L3PlusRate","Age","West of England and North Somerset LSIP","30-39","All"
"L3PlusRate","Age","West of England and North Somerset LSIP","40-49","All"
"L3PlusRate","Age","West of England and North Somerset LSIP","20-24","All"
"L3PlusRate","Age","West of England and North Somerset LSIP","50-64","All"
"L3PlusRate","Age","West of England and North Somerset LSIP","16-19","All"
"L3PlusRate","Age","Worcestershire LSIP","20-24","All"
"L3PlusRate","Age","Worcestershire LSIP","25-29","All"
"L3PlusRate","Age","Worcestershire LSIP","30-39","All"
"L3PlusRate","Age","Worcestershire LSIP","40-49","All"
"L3PlusRate","Age","Worcestershire LSIP","50-64","All"
"L3PlusRate","Age","Worcestershire LSIP","16-19","All"
"L3PlusRate","Age","York and North Yorkshire CA","25-29","All"
"L3PlusRate","Age","York and North Yorkshire CA","30-39","All"
"L3PlusRate","Age","York and North Yorkshire CA","40-49","All"
"L3PlusRate","Age","York and North Yorkshire CA","50-64","All"
"L3PlusRate","Age","York and North Yorkshire CA","20-24","All"
"L3PlusRate","Age","York and North Yorkshire CA","16-19","All"
"L3PlusRate","Age","York and North Yorkshire LSIP","25-29","All"
"L3PlusRate","Age","York and North Yorkshire LSIP","30-39","All"
"L3PlusRate","Age","York and North Yorkshire LSIP","40-49","All"
"L3PlusRate","Age","York and North Yorkshire LSIP","50-64","All"
"L3PlusRate","Age","York and North Yorkshire LSIP","20-24","All"
"L3PlusRate","Age","York and North Yorkshire LSIP","16-19","All"
"L3PlusRate","Gender","Buckinghamshire LSIP","Females","All"
"L3PlusRate","Gender","Buckinghamshire LSIP","Males","All"
"L3PlusRate","Gender","Cambridgeshire and Peterborough CA","Females","All"
"L3PlusRate","Gender","Cambridgeshire and Peterborough CA","Males","All"
"L3PlusRate","Gender","Cambridgeshire and Peterborough LSIP","Females","All"
"L3PlusRate","Gender","Cambridgeshire and Peterborough LSIP","Males","All"
"L3PlusRate","Gender","Central London Forward LSIP","Males","All"
"L3PlusRate","Gender","Central London Forward LSIP","Females","All"
"L3PlusRate","Gender","Cheshire and Warrington LSIP","Males","All"
"L3PlusRate","Gender","Cheshire and Warrington LSIP","Females","All"
"L3PlusRate","Gender","Cornwall and the Isles of Scilly LSIP","Males","All"
"L3PlusRate","Gender","Cornwall and the Isles of Scilly LSIP","Females","All"
"L3PlusRate","Gender","Cumbria LSIP","Females","All"
"L3PlusRate","Gender","Cumbria LSIP","Males","All"
"L3PlusRate","Gender","Devon and Torbay CA","Females","All"
"L3PlusRate","Gender","Devon and Torbay CA","Males","All"
"L3PlusRate","Gender","Dorset LSIP","Females","All"
"L3PlusRate","Gender","Dorset LSIP","Males","All"
"L3PlusRate","Gender","East Midlands CA","Females","All"
"L3PlusRate","Gender","East Midlands CA","Males","All"
"L3PlusRate","Gender","East Midlands LSIP","Females","All"
"L3PlusRate","Gender","East Midlands LSIP","Males","All"
"L3PlusRate","Gender","England","Females","All"
"L3PlusRate","Gender","England","Males","All"
"L3PlusRate","Gender","Gloucestershire LSIP","Males","All"
"L3PlusRate","Gender","Gloucestershire LSIP","Females","All"
"L3PlusRate","Gender","Greater Devon LSIP","Males","All"
"L3PlusRate","Gender","Greater Devon LSIP","Females","All"
"L3PlusRate","Gender","Greater Essex LSIP","Females","All"
"L3PlusRate","Gender","Greater Essex LSIP","Males","All"
"L3PlusRate","Gender","Greater Lincolnshire CA","Females","All"
"L3PlusRate","Gender","Greater Lincolnshire CA","Males","All"
"L3PlusRate","Gender","Greater Lincolnshire LSIP","Females","All"
"L3PlusRate","Gender","Greater Lincolnshire LSIP","Males","All"
"L3PlusRate","Gender","Greater London Authority CA","Males","All"
"L3PlusRate","Gender","Greater London Authority CA","Females","All"
"L3PlusRate","Gender","Greater Manchester CA","Females","All"
"L3PlusRate","Gender","Greater Manchester CA","Males","All"
"L3PlusRate","Gender","Greater Manchester LSIP","Females","All"
"L3PlusRate","Gender","Greater Manchester LSIP","Males","All"
"L3PlusRate","Gender","Hampshire and the Solent LSIP","Females","All"
"L3PlusRate","Gender","Hampshire and the Solent LSIP","Males","All"
"L3PlusRate","Gender","Hertfordshire LSIP","Males","All"
"L3PlusRate","Gender","Hertfordshire LSIP","Females","All"
"L3PlusRate","Gender","Hull and East Yorkshire CA","Females","All"
"L3PlusRate","Gender","Hull and East Yorkshire CA","Males","All"
"L3PlusRate","Gender","Hull and East Yorkshire LSIP","Females","All"
"L3PlusRate","Gender","Hull and East Yorkshire LSIP","Males","All"
"L3PlusRate","Gender","Kent and Medway LSIP","Females","All"
"L3PlusRate","Gender","Kent and Medway LSIP","Males","All"
"L3PlusRate","Gender","Lancashire CA","Females","All"
"L3PlusRate","Gender","Lancashire CA","Males","All"
"L3PlusRate","Gender","Lancashire LSIP","Females","All"
"L3PlusRate","Gender","Lancashire LSIP","Males","All"
"L3PlusRate","Gender","Leicester, Leicestershire and Rutland LSIP","Females","All"
"L3PlusRate","Gender","Leicester, Leicestershire and Rutland LSIP","Males","All"
"L3PlusRate","Gender","Liverpool City Region CA","Females","All"
"L3PlusRate","Gender","Liverpool City Region CA","Males","All"
"L3PlusRate","Gender","Liverpool City Region LSIP","Females","All"
"L3PlusRate","Gender","Liverpool City Region LSIP","Males","All"
"L3PlusRate","Gender","Local London LSIP","Males","All"
"L3PlusRate","Gender","Local London LSIP","Females","All"
"L3PlusRate","Gender","Norfolk and Suffolk LSIP","Females","All"
"L3PlusRate","Gender","Norfolk and Suffolk LSIP","Males","All"
"L3PlusRate","Gender","North East CA","Females","All"
"L3PlusRate","Gender","North East CA","Males","All"
"L3PlusRate","Gender","North East LSIP","Females","All"
"L3PlusRate","Gender","North East LSIP","Males","All"
"L3PlusRate","Gender","Oxfordshire LSIP","Males","All"
"L3PlusRate","Gender","Oxfordshire LSIP","Females","All"
"L3PlusRate","Gender","Somerset LSIP","Females","All"
"L3PlusRate","Gender","Somerset LSIP","Males","All"
"L3PlusRate","Gender","South London Partnership LSIP","Females","All"
"L3PlusRate","Gender","South London Partnership LSIP","Males","All"
"L3PlusRate","Gender","South Yorkshire CA","Females","All"
"L3PlusRate","Gender","South Yorkshire CA","Males","All"
"L3PlusRate","Gender","South Yorkshire LSIP","Females","All"
"L3PlusRate","Gender","South Yorkshire LSIP","Males","All"
"L3PlusRate","Gender","South-East Midlands LSIP","Males","All"
"L3PlusRate","Gender","South-East Midlands LSIP","Females","All"
"L3PlusRate","Gender","Stoke-on-Trent and Staffordshire LSIP","Females","All"
"L3PlusRate","Gender","Stoke-on-Trent and Staffordshire LSIP","Males","All"
"L3PlusRate","Gender","Surrey LSIP","Females","All"
"L3PlusRate","Gender","Surrey LSIP","Males","All"
"L3PlusRate","Gender","Sussex and Brighton LSIP","Females","All"
"L3PlusRate","Gender","Sussex and Brighton LSIP","Males","All"
"L3PlusRate","Gender","Swindon and Wiltshire LSIP","Females","All"
"L3PlusRate","Gender","Swindon and Wiltshire LSIP","Males","All"
"L3PlusRate","Gender","Tees Valley CA","Females","All"
"L3PlusRate","Gender","Tees Valley CA","Males","All"
"L3PlusRate","Gender","Tees Valley LSIP","Females","All"
"L3PlusRate","Gender","Tees Valley LSIP","Males","All"
"L3PlusRate","Gender","Thames Valley Berkshire LSIP","Females","All"
"L3PlusRate","Gender","Thames Valley Berkshire LSIP","Males","All"
"L3PlusRate","Gender","The Marches LSIP","Females","All"
"L3PlusRate","Gender","The Marches LSIP","Males","All"
