"geogConcat","metric","breakdown","subgroup","value","valueText"
"Greater Manchester LEP","achievements","Age","19-24",1,"13520"
"Greater Manchester LEP","achievements","Age","25+",1,"46540"
"Greater Manchester LSIP","achievements","Age","19-24",1,"13520"
"Greater Manchester LSIP","achievements","Age","25+",1,"46540"
"Greater Manchester MCA","achievements","Age","19-24",1,"13520"
"Greater Manchester MCA","achievements","Age","25+",1,"46540"
"Heart of the South-West LSIP","achievements","Age","19-24",1,"7370"
"Heart of the South-West LSIP","achievements","Age","25+",1,"26560"
"Heart of the South West LEP","achievements","Age","19-24",1,"7370"
"Heart of the South West LEP","achievements","Age","25+",1,"26560"
"Hertfordshire LEP","achievements","Age","19-24",1,"3440"
"Hertfordshire LEP","achievements","Age","25+",1,"11790"
"Hertfordshire LSIP","achievements","Age","19-24",1,"3440"
"Hertfordshire LSIP","achievements","Age","25+",1,"11790"
"Hull and East Yorkshire LEP","achievements","Age","19-24",1,"2950"
"Hull and East Yorkshire LEP","achievements","Age","25+",1,"8950"
"Hull and East Yorkshire LSIP","achievements","Age","19-24",1,"2950"
"Hull and East Yorkshire LSIP","achievements","Age","25+",1,"8950"
"Kent and Medway LSIP","achievements","Age","19-24",1,"6310"
"Kent and Medway LSIP","achievements","Age","25+",1,"25610"
"Lancashire LEP","achievements","Age","19-24",1,"7620"
"Lancashire LEP","achievements","Age","25+",1,"26970"
"Lancashire LSIP","achievements","Age","19-24",1,"7620"
"Lancashire LSIP","achievements","Age","25+",1,"26970"
"Leeds City Region LEP","achievements","Age","19-24",1,"12400"
"Leeds City Region LEP","achievements","Age","25+",1,"37590"
"Leicester and Leicestershire LEP","achievements","Age","19-24",1,"4650"
"Leicester and Leicestershire LEP","achievements","Age","25+",1,"16780"
"Leicester and Leicestershire LSIP","achievements","Age","19-24",1,"4650"
"Leicester and Leicestershire LSIP","achievements","Age","25+",1,"16780"
"Liverpool City Region LEP","achievements","Age","19-24",1,"8510"
"Liverpool City Region LEP","achievements","Age","25+",1,"31810"
"Liverpool City Region LSIP","achievements","Age","19-24",1,"8510"
"Liverpool City Region LSIP","achievements","Age","25+",1,"31810"
"Liverpool City Region MCA","achievements","Age","19-24",1,"8510"
"Liverpool City Region MCA","achievements","Age","25+",1,"31810"
"London LEP","achievements","Age","19-24",1,"35010"
"London LEP","achievements","Age","25+",1,"185330"
"New Anglia LEP","achievements","Age","19-24",1,"5760"
"New Anglia LEP","achievements","Age","25+",1,"17300"
"Norfolk and Suffolk LSIP","achievements","Age","19-24",1,"5760"
"Norfolk and Suffolk LSIP","achievements","Age","25+",1,"17300"
"North East LEP","achievements","Age","19-24",1,"11350"
"North East LEP","achievements","Age","25+",1,"35990"
"North East LSIP","achievements","Age","19-24",1,"7370"
"North East LSIP","achievements","Age","25+",1,"23090"
"North East MCA","achievements","Age","19-24",1,"7370"
"North East MCA","achievements","Age","25+",1,"23090"
"North of Tyne LSIP","achievements","Age","19-24",1,"3980"
"North of Tyne LSIP","achievements","Age","25+",1,"12900"
"North of Tyne MCA","achievements","Age","19-24",1,"3980"
"North of Tyne MCA","achievements","Age","25+",1,"12900"
"Oxfordshire LEP","achievements","Age","19-24",1,"1950"
"Oxfordshire LEP","achievements","Age","25+",1,"8160"
"Oxfordshire LSIP","achievements","Age","19-24",1,"1950"
"Oxfordshire LSIP","achievements","Age","25+",1,"8160"
"Sheffield City Region LEP","achievements","Age","19-24",1,"5920"
"Sheffield City Region LEP","achievements","Age","25+",1,"18400"
"Solent LEP","achievements","Age","19-24",1,"4700"
"Solent LEP","achievements","Age","25+",1,"17710"
"Solent LSIP","achievements","Age","19-24",1,"4700"
"Solent LSIP","achievements","Age","25+",1,"17710"
"South East LEP","achievements","Age","19-24",1,"13890"
"South East LEP","achievements","Age","25+",1,"52890"
"South East Midlands LEP","achievements","Age","19-24",1,"6590"
"South East Midlands LEP","achievements","Age","25+",1,"24590"
"South East Midlands LSIP","achievements","Age","19-24",1,"6590"
"South East Midlands LSIP","achievements","Age","25+",1,"24590"
"South Yorkshire LSIP","achievements","Age","19-24",1,"5920"
"South Yorkshire LSIP","achievements","Age","25+",1,"18400"
"South Yorkshire MCA","achievements","Age","19-24",1,"5920"
"South Yorkshire MCA","achievements","Age","25+",1,"18400"
"Stoke-on-Trent and Staffordshire LEP","achievements","Age","19-24",1,"4750"
"Stoke-on-Trent and Staffordshire LEP","achievements","Age","25+",1,"14690"
"Stoke-on-Trent and Staffordshire LSIP","achievements","Age","19-24",1,"6650"
"Stoke-on-Trent and Staffordshire LSIP","achievements","Age","25+",1,"19900"
"Swindon and Wiltshire LEP","achievements","Age","19-24",1,"2770"
"Swindon and Wiltshire LEP","achievements","Age","25+",1,"7540"
"Swindon and Wiltshire LSIP","achievements","Age","19-24",1,"2770"
"Swindon and Wiltshire LSIP","achievements","Age","25+",1,"7540"
"Tees Valley LEP","achievements","Age","19-24",1,"5160"
"Tees Valley LEP","achievements","Age","25+",1,"16830"
"Tees Valley LSIP","achievements","Age","19-24",1,"5160"
"Tees Valley LSIP","achievements","Age","25+",1,"16830"
"Tees Valley MCA","achievements","Age","19-24",1,"5160"
"Tees Valley MCA","achievements","Age","25+",1,"16830"
"Thames Valley Berkshire LEP","achievements","Age","19-24",1,"3000"
"Thames Valley Berkshire LEP","achievements","Age","25+",1,"12690"
"Thames Valley Berkshire LSIP","achievements","Age","19-24",1,"3000"
"Thames Valley Berkshire LSIP","achievements","Age","25+",1,"12690"
"The Marches LEP","achievements","Age","19-24",1,"3410"
"The Marches LEP","achievements","Age","25+",1,"7750"
"The Marches LSIP","achievements","Age","19-24",1,"3410"
"The Marches LSIP","achievements","Age","25+",1,"7750"
"West Midlands and Warwickshire LSIP","achievements","Age","19-24",1,"18370"
"West Midlands and Warwickshire LSIP","achievements","Age","25+",1,"58200"
"West Midlands MCA","achievements","Age","19-24",1,"16430"
"West Midlands MCA","achievements","Age","25+",1,"52320"
"West of England and North Somerset LSIP","achievements","Age","19-24",1,"4280"
"West of England and North Somerset LSIP","achievements","Age","25+",1,"12600"
"West of England LEP","achievements","Age","19-24",1,"4280"
"West of England LEP","achievements","Age","25+",1,"12600"
"West of England MCA","achievements","Age","19-24",1,"3340"
"West of England MCA","achievements","Age","25+",1,"9610"
"West Yorkshire LSIP","achievements","Age","19-24",1,"12400"
"West Yorkshire LSIP","achievements","Age","25+",1,"37590"
"West Yorkshire MCA","achievements","Age","19-24",1,"12400"
"West Yorkshire MCA","achievements","Age","25+",1,"37590"
"Worcestershire LEP","achievements","Age","19-24",1,"1930"
"Worcestershire LEP","achievements","Age","25+",1,"5470"
"Worcestershire LSIP","achievements","Age","19-24",1,"2900"
"Worcestershire LSIP","achievements","Age","25+",1,"8090"
"York and North Yorkshire LEP","achievements","Age","19-24",1,"4530"
"York and North Yorkshire LEP","achievements","Age","25+",1,"9420"
"York and North Yorkshire LSIP","achievements","Age","19-24",1,"4530"
"York and North Yorkshire LSIP","achievements","Age","25+",1,"9420"
"Black Country LEP","achievements","Level","Apprenticeships: Advanced",1,"1470"
"Black Country LEP","achievements","Level","Apprenticeships: Higher",1,"750"
"Black Country LEP","achievements","Level","Apprenticeships: Intermediate",1,"880"
"Black Country LEP","achievements","Level","Community learning: Family english maths and language",1,"170"
"Black Country LEP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"550"
"Black Country LEP","achievements","Level","Community learning: Personal and community development learning",1,"5480"
"Black Country LEP","achievements","Level","Community learning: Wider family learning",1,"830"
"Black Country LEP","achievements","Level","Education and training: Basic Skills",1,"5580"
"Black Country LEP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"5320"
"Black Country LEP","achievements","Level","Education and training: Full Level 2",1,"500"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Apprenticeships: Advanced",1,"1580"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Apprenticeships: Higher",1,"820"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Apprenticeships: Intermediate",1,"870"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Community learning: Family english maths and language",1,"120"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Community learning: Personal and community development learning",1,"5680"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Community learning: Wider family learning",1,"430"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Education and training: Basic Skills",1,"3410"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"3330"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Education and training: Full Level 2",1,"490"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Level","Education and training: Full Level 3",1,"1020"
"Buckinghamshire LEP","achievements","Level","Apprenticeships: Advanced",1,"550"
"Buckinghamshire LEP","achievements","Level","Apprenticeships: Higher",1,"320"
"Buckinghamshire LEP","achievements","Level","Apprenticeships: Intermediate",1,"330"
"Buckinghamshire LEP","achievements","Level","Community learning: Family english maths and language",1,"10"
"Buckinghamshire LEP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"630"
"Buckinghamshire LEP","achievements","Level","Community learning: Personal and community development learning",1,"1750"
"Buckinghamshire LEP","achievements","Level","Community learning: Wider family learning",1,"620"
"Buckinghamshire LEP","achievements","Level","Education and training: Basic Skills",1,"1110"
"Buckinghamshire LEP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"750"
"Buckinghamshire LEP","achievements","Level","Education and training: Full Level 2",1,"110"
"Buckinghamshire LSIP","achievements","Level","Apprenticeships: Advanced",1,"550"
"Buckinghamshire LSIP","achievements","Level","Apprenticeships: Higher",1,"320"
"Buckinghamshire LSIP","achievements","Level","Apprenticeships: Intermediate",1,"330"
"Buckinghamshire LSIP","achievements","Level","Community learning: Family english maths and language",1,"10"
"Buckinghamshire LSIP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"630"
"Buckinghamshire LSIP","achievements","Level","Community learning: Personal and community development learning",1,"1750"
"Buckinghamshire LSIP","achievements","Level","Community learning: Wider family learning",1,"620"
"Buckinghamshire LSIP","achievements","Level","Education and training: Basic Skills",1,"1110"
"Buckinghamshire LSIP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"750"
"Buckinghamshire LSIP","achievements","Level","Education and training: Full Level 2",1,"110"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Apprenticeships: Advanced",1,"780"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Apprenticeships: Higher",1,"660"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Apprenticeships: Intermediate",1,"480"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Community learning: Family english maths and language",1,"60"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"160"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Community learning: Personal and community development learning",1,"1850"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Community learning: Wider family learning",1,"310"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Education and training: Basic Skills",1,"2320"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"1780"
"Cambridgeshire and Peterborough LSIP","achievements","Level","Education and training: Full Level 2",1,"90"
"Cambridgeshire and Peterborough MCA","achievements","Level","Apprenticeships: Advanced",1,"780"
"Cambridgeshire and Peterborough MCA","achievements","Level","Apprenticeships: Higher",1,"660"
"Cambridgeshire and Peterborough MCA","achievements","Level","Apprenticeships: Intermediate",1,"480"
"Cambridgeshire and Peterborough MCA","achievements","Level","Community learning: Family english maths and language",1,"60"
"Cambridgeshire and Peterborough MCA","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"160"
"Cambridgeshire and Peterborough MCA","achievements","Level","Community learning: Personal and community development learning",1,"1850"
"Cambridgeshire and Peterborough MCA","achievements","Level","Community learning: Wider family learning",1,"310"
"Cambridgeshire and Peterborough MCA","achievements","Level","Education and training: Basic Skills",1,"2320"
"Cambridgeshire and Peterborough MCA","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"1780"
"Cambridgeshire and Peterborough MCA","achievements","Level","Education and training: Full Level 2",1,"90"
"Cheshire and Warrington LEP","achievements","Level","Apprenticeships: Advanced",1,"1210"
"Cheshire and Warrington LEP","achievements","Level","Apprenticeships: Higher",1,"710"
"Cheshire and Warrington LEP","achievements","Level","Apprenticeships: Intermediate",1,"590"
"Cheshire and Warrington LEP","achievements","Level","Community learning: Family english maths and language",1,"150"
"Cheshire and Warrington LEP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"30"
"Cheshire and Warrington LEP","achievements","Level","Community learning: Personal and community development learning",1,"3240"
"Cheshire and Warrington LEP","achievements","Level","Community learning: Wider family learning",1,"140"
"Cheshire and Warrington LEP","achievements","Level","Education and training: Basic Skills",1,"1520"
"Cheshire and Warrington LEP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"2500"
"Cheshire and Warrington LEP","achievements","Level","Education and training: Full Level 2",1,"280"
"Cheshire and Warrington LSIP","achievements","Level","Apprenticeships: Advanced",1,"1210"
"Cheshire and Warrington LSIP","achievements","Level","Apprenticeships: Higher",1,"710"
"Cheshire and Warrington LSIP","achievements","Level","Apprenticeships: Intermediate",1,"590"
"Cheshire and Warrington LSIP","achievements","Level","Community learning: Family english maths and language",1,"150"
"Cheshire and Warrington LSIP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"30"
"Cheshire and Warrington LSIP","achievements","Level","Community learning: Personal and community development learning",1,"3240"
"Cheshire and Warrington LSIP","achievements","Level","Community learning: Wider family learning",1,"140"
"Cheshire and Warrington LSIP","achievements","Level","Education and training: Basic Skills",1,"1520"
"Cheshire and Warrington LSIP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"2500"
"Cheshire and Warrington LSIP","achievements","Level","Education and training: Full Level 2",1,"280"
"Coast to Capital LEP","achievements","Level","Apprenticeships: Higher",1,"890"
"Coast to Capital LEP","achievements","Level","Apprenticeships: Intermediate",1,"710"
"Coast to Capital LEP","achievements","Level","Community learning: Family english maths and language",1,"80"
"Coast to Capital LEP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"210"
"Coast to Capital LEP","achievements","Level","Community learning: Personal and community development learning",1,"5120"
"Coast to Capital LEP","achievements","Level","Community learning: Wider family learning",1,"180"
"Coast to Capital LEP","achievements","Level","Education and training: Basic Skills",1,"3200"
"Coast to Capital LEP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"2660"
"Coast to Capital LEP","achievements","Level","Education and training: Full Level 2",1,"440"
"Coast to Capital LEP","achievements","Level","Education and training: Full Level 3",1,"780"
"Cornwall and Isles of Scilly LEP","achievements","Level","Apprenticeships: Advanced",1,"650"
"Cornwall and Isles of Scilly LEP","achievements","Level","Apprenticeships: Higher",1,"240"
"Cornwall and Isles of Scilly LEP","achievements","Level","Apprenticeships: Intermediate",1,"530"
"Cornwall and Isles of Scilly LEP","achievements","Level","Community learning: Family english maths and language",1,"30"
"Cornwall and Isles of Scilly LEP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"10"
"Cornwall and Isles of Scilly LEP","achievements","Level","Community learning: Personal and community development learning",1,"3090"
"Cornwall and Isles of Scilly LEP","achievements","Level","Community learning: Wider family learning",1,"50"
"Cornwall and Isles of Scilly LEP","achievements","Level","Education and training: Basic Skills",1,"900"
"Cornwall and Isles of Scilly LEP","achievements","Level","Education and training: Full Level 2",1,"120"
"Cornwall and Isles of Scilly LEP","achievements","Level","Education and training: Full Level 3",1,"360"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Apprenticeships: Advanced",1,"650"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Apprenticeships: Higher",1,"240"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Apprenticeships: Intermediate",1,"530"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Community learning: Family english maths and language",1,"30"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"10"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Community learning: Personal and community development learning",1,"3090"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Community learning: Wider family learning",1,"50"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Education and training: Basic Skills",1,"900"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Education and training: Full Level 2",1,"120"
"Cornwall and the Isles of Scilly LSIP","achievements","Level","Education and training: Full Level 3",1,"360"
"Coventry and Warwickshire LEP","achievements","Level","Apprenticeships: Advanced",1,"1090"
"Coventry and Warwickshire LEP","achievements","Level","Apprenticeships: Higher",1,"650"
"Coventry and Warwickshire LEP","achievements","Level","Apprenticeships: Intermediate",1,"610"
"Coventry and Warwickshire LEP","achievements","Level","Community learning: Family english maths and language",1,"140"
"Coventry and Warwickshire LEP","achievements","Level","Community learning: Personal and community development learning",1,"2200"
"Coventry and Warwickshire LEP","achievements","Level","Community learning: Wider family learning",1,"810"
"Coventry and Warwickshire LEP","achievements","Level","Education and training: Basic Skills",1,"3660"
"Coventry and Warwickshire LEP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"1460"
"Coventry and Warwickshire LEP","achievements","Level","Education and training: Full Level 2",1,"370"
"Coventry and Warwickshire LEP","achievements","Level","Education and training: Full Level 3",1,"640"
"Cumbria LEP","achievements","Level","Apprenticeships: Advanced",1,"910"
"Cumbria LEP","achievements","Level","Apprenticeships: Higher",1,"500"
"Cumbria LEP","achievements","Level","Community learning: Family english maths and language",1,"120"
"Cumbria LEP","achievements","Level","Community learning: Personal and community development learning",1,"1640"
"Cumbria LEP","achievements","Level","Community learning: Wider family learning",1,"90"
"Cumbria LEP","achievements","Level","Education and training: Basic Skills",1,"660"
"Cumbria LEP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"1200"
"Cumbria LEP","achievements","Level","Education and training: Full Level 2",1,"110"
"Cumbria LEP","achievements","Level","Education and training: Full Level 3",1,"210"
"Cumbria LEP","achievements","Level","Education and training: Level 2",1,"2710"
"Cumbria LSIP","achievements","Level","Apprenticeships: Advanced",1,"910"
"Cumbria LSIP","achievements","Level","Apprenticeships: Higher",1,"500"
"Cumbria LSIP","achievements","Level","Community learning: Family english maths and language",1,"120"
"Cumbria LSIP","achievements","Level","Community learning: Personal and community development learning",1,"1640"
"Cumbria LSIP","achievements","Level","Community learning: Wider family learning",1,"90"
"Cumbria LSIP","achievements","Level","Education and training: Basic Skills",1,"660"
"Cumbria LSIP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"1200"
"Cumbria LSIP","achievements","Level","Education and training: Full Level 2",1,"110"
"Cumbria LSIP","achievements","Level","Education and training: Full Level 3",1,"210"
"Cumbria LSIP","achievements","Level","Education and training: Level 2",1,"2710"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Apprenticeships: Advanced",1,"3090"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Apprenticeships: Higher",1,"1500"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Apprenticeships: Intermediate",1,"1690"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Community learning: Family english maths and language",1,"450"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"50"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Community learning: Personal and community development learning",1,"8490"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Community learning: Wider family learning",1,"580"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Education and training: Basic Skills",1,"6840"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"10180"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Level","Education and training: Full Level 2",1,"560"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Apprenticeships: Advanced",1,"3090"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Apprenticeships: Higher",1,"1500"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Apprenticeships: Intermediate",1,"1690"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Community learning: Family english maths and language",1,"450"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"50"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Community learning: Personal and community development learning",1,"8490"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Community learning: Wider family learning",1,"580"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Education and training: Basic Skills",1,"6840"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"10180"
"Derbyshire and Nottinghamshire LSIP","achievements","Level","Education and training: Full Level 2",1,"560"
"Dorset LEP","achievements","Level","Apprenticeships: Advanced",1,"1250"
"Dorset LEP","achievements","Level","Apprenticeships: Higher",1,"420"
"Dorset LEP","achievements","Level","Apprenticeships: Intermediate",1,"780"
"Dorset LEP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"180"
"Dorset LEP","achievements","Level","Community learning: Personal and community development learning",1,"1360"
"Dorset LEP","achievements","Level","Community learning: Wider family learning",1,"130"
"Dorset LEP","achievements","Level","Education and training: Basic Skills",1,"1590"
"Dorset LEP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"1450"
"Dorset LEP","achievements","Level","Education and training: Full Level 2",1,"110"
"Dorset LEP","achievements","Level","Education and training: Full Level 3",1,"350"
"Dorset LSIP","achievements","Level","Apprenticeships: Advanced",1,"2340"
"Dorset LSIP","achievements","Level","Apprenticeships: Higher",1,"910"
"Dorset LSIP","achievements","Level","Apprenticeships: Intermediate",1,"1250"
"Dorset LSIP","achievements","Level","Community learning: Family english maths and language",1,"50"
"Dorset LSIP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"480"
"Dorset LSIP","achievements","Level","Community learning: Personal and community development learning",1,"3850"
"Dorset LSIP","achievements","Level","Community learning: Wider family learning",1,"160"
"Dorset LSIP","achievements","Level","Education and training: Basic Skills",1,"2670"
"Dorset LSIP","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"2380"
"Dorset LSIP","achievements","Level","Education and training: Full Level 2",1,"250"
"England","achievements","Level","Apprenticeships: Advanced",1,"65290"
"England","achievements","Level","Apprenticeships: Higher",1,"34660"
"England","achievements","Level","Apprenticeships: Intermediate",1,"37270"
"England","achievements","Level","Community learning: Family english maths and language",1,"11970"
"England","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"24110"
"England","achievements","Level","Community learning: Personal and community development learning",1,"226400"
"England","achievements","Level","Community learning: Wider family learning",1,"26490"
"England","achievements","Level","Education and training: Basic Skills",1,"213960"
"England","achievements","Level","Education and training: Below Level 2 (excluding Basic Skills)",1,"221760"
"England","achievements","Level","Education and training: Full Level 2",1,"16290"
"Enterprise M3 LEP","achievements","Level","Apprenticeships: Advanced",1,"1680"
"Enterprise M3 LEP","achievements","Level","Apprenticeships: Higher",1,"940"
"Enterprise M3 LEP","achievements","Level","Apprenticeships: Intermediate",1,"750"
"Enterprise M3 LEP","achievements","Level","Community learning: Family english maths and language",1,"160"
"Enterprise M3 LEP","achievements","Level","Community learning: Neighbourhood learning in deprived communities",1,"340"
"Enterprise M3 LEP","achievements","Level","Community learning: Personal and community development learning",1,"6970"
